thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,tilt,slider.response,slider.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instructions.started,text.started,text.stopped,Instructions.stopped,trial.started,Fixation.started,Fixation.stopped,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials.tilt,rating.started,slider.started,text_2.started,rating.stopped,trials.slider.response,trials.slider.rt,Thankyou.started,text_3.started,text_3.stopped,Thankyou.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,0.0032143999997060746,0.008792099979473278,15.013049000001047,14.994795599981444,,,,,,,,,,,,,,,,,,,,,05,001,2025-11-10_16h25.00.355,solo project,,2025.1.1,60.03828041251252,2025-11-10 16h25.12.879556 +0530,
0,0,0,down,1,0.9704422999930102,None,-6,5,2.475663799996255,0,0,0,0,15.013049000001047,,,,,,14.998451199993724,15.013049000001047,16.011682399985148,16.011682399985148,17.000303799984977,down,1,0.9704422999930102,None,-6,17.002339800004847,17.013607999979286,17.013607999979286,19.49456999998074,5,2.475663799996255,,,,,05,001,2025-11-10_16h25.00.355,solo project,,2025.1.1,60.03828041251252,2025-11-10 16h25.12.879556 +0530,
1,0,1,up,1,0.7756112999923062,None,0,5,1.0506303000147454,1,0,1,0,19.51355429997784,,,,,,19.494934999995166,19.51355429997784,20.509777300001588,20.49672080000164,21.276253999996698,up,1,0.7756112999923062,None,0,21.277358399995137,21.292708299995866,21.292708299995866,22.343553499988047,5,1.0506303000147454,,,,,05,001,2025-11-10_16h25.00.355,solo project,,2025.1.1,60.03828041251252,2025-11-10 16h25.12.879556 +0530,
2,0,2,up,0,0.5846367999911308,None,0,4.992592592592593,0.9479540000029374,2,0,2,0,22.362944399996195,,,,,,22.34375739999814,22.362944399996195,23.359808199980762,23.34632579999743,23.943910400004825,up,0,0.5846367999911308,None,0,23.94701740000164,23.959749100002227,23.959749100002227,24.910321100003785,4.992592592592593,0.9479540000029374,,,,,05,001,2025-11-10_16h25.00.355,solo project,,2025.1.1,60.03828041251252,2025-11-10 16h25.12.879556 +0530,
3,0,3,up,1,0.5210459000081755,None,0,5,0.9630351999949198,3,0,3,0,24.92926350000198,,,,,,24.910571999993408,24.92926350000198,25.926207999989856,25.91281589999562,26.443464899988612,up,1,0.5210459000081755,None,0,26.44746229998418,26.459473199996864,26.459473199996864,27.42641679997905,5,0.9630351999949198,,,,,05,001,2025-11-10_16h25.00.355,solo project,,2025.1.1,60.03828041251252,2025-11-10 16h25.12.879556 +0530,
4,0,4,down,1,0.757017600000836,None,-5,5,0.9971931999898516,4,0,4,0,27.445780599984573,,,,,,27.42663729999913,27.445780599984573,28.44271839997964,28.42922879999969,29.193013499985682,down,1,0.757017600000836,None,-5,29.19612340000458,29.20918899998651,29.20918899998651,30.20994219998829,5,0.9971931999898516,,,,,05,001,2025-11-10_16h25.00.355,solo project,,2025.1.1,60.03828041251252,2025-11-10 16h25.12.879556 +0530,
5,0,5,down,1,0.6844004000013229,None,3,5,1.1140861000167206,5,0,5,0,30.228934099985054,,,,,,30.21016809999128,30.228934099985054,31.225663199991686,31.212544299982255,31.90969820000464,down,1,0.6844004000013229,None,3,31.9133967999951,31.92531809999491,31.92531809999491,33.0426368000044,5,1.1140861000167206,,,,,05,001,2025-11-10_16h25.00.355,solo project,,2025.1.1,60.03828041251252,2025-11-10 16h25.12.879556 +0530,
6,0,6,down,1,0.7790849999873899,None,-4,5,0.9119802999775857,6,0,6,0,33.061627399991266,,,,,,33.04290589998709,33.061627399991266,34.05871979999938,34.045428599987645,34.8267508999852,down,1,0.7790849999873899,None,-4,34.83092629999737,34.841759699978866,34.841759699978866,35.75914479998755,5,0.9119802999775857,,,,,05,001,2025-11-10_16h25.00.355,solo project,,2025.1.1,60.03828041251252,2025-11-10 16h25.12.879556 +0530,
7,0,7,up,0,0.7254825999843888,None,0,5,0.9802329999802168,7,0,7,0,35.777846799988765,,,,,,35.759368700004416,35.777846799988765,36.77514899999369,36.761484299990116,37.49223089998122,up,0,0.7254825999843888,None,0,37.495355899998685,37.50836929999059,37.50836929999059,38.49244689999614,5,0.9802329999802168,,,,,05,001,2025-11-10_16h25.00.355,solo project,,2025.1.1,60.03828041251252,2025-11-10 16h25.12.879556 +0530,
8,0,8,down,1,0.49408580001909286,None,4,5,0.9126691999845207,8,0,8,0,38.511406599980546,,,,,,38.49273840000387,38.511406599980546,39.50814409999293,39.49481889998424,39.992354799993336,down,1,0.49408580001909286,None,4,39.99628870000015,40.008124399988446,40.008124399988446,40.92539229997783,5,0.9126691999845207,,,,,05,001,2025-11-10_16h25.00.355,solo project,,2025.1.1,60.03828041251252,2025-11-10 16h25.12.879556 +0530,
