imagefile,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,tilt,slider.response,slider.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instructions.started,text.started,key_resp_2.started,Instructions.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trial.started,Fixation.started,image.started,Fixation.stopped,image.stopped,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials.tilt,rating.started,slider.started,text_2.started,rating.stopped,trials.slider.response,trials.slider.rt,Thankyou.started,text_3.started,text_3.stopped,Thankyou.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
,,,,,,,,,,,,,,,,,0.0032447,0.0085583,1.0152666,12.7038166,space,11.6505131,None,,,,,,,,,,,,,,,,,,,,,,,emo02,1,2025-11-11_17h14.47.771,solo project_version2,,2025.1.1,59.95678315,2025-11-11 17h14.58.492564 +0530
D:\sadimage7.jpeg,0,0,0,up,1,3.2889199,None,0,3.488888889,10.7928559,0,0,0,13,12.7668029,,,,,,,,,12.7565472,12.7668029,13.7248586,13.7636351,14.2297035,14.3133997,17.6145383,up,1,3.2889199,None,0,17.6200603,17.647487,17.647487,28.4291144,3.488888889,10.7928559,,,,,emo02,1,2025-11-11_17h14.47.771,solo project_version2,,2025.1.1,59.95678315,2025-11-11 17h14.58.492564 +0530
D:\happyimage3.jpeg,1,1,0,down,1,2.0300348,None,-6,5,7.8609396,0,1,1,2,28.4480782,,,,,,,,,28.4321935,28.4480782,29.4318489,29.4455433,29.9448828,30.0449728,32.0800193,down,1,2.0300348,None,-6,32.084617,32.0946462,32.0946462,39.9615069,5,7.8609396,,,,,emo02,1,2025-11-11_17h14.47.771,solo project_version2,,2025.1.1,59.95678315,2025-11-11 17h14.58.492564 +0530
D:\sadimage4.jpg,2,2,0,down,0,4.2521707,None,0,2.977777778,2.029827,0,2,2,10,40.3022154,,,,,,,,,40.2866696,40.3022154,40.9653423,41.3119391,41.4765251,41.5766623,45.8443938,down,0,4.2521707,None,0,45.8479768,45.8602125,45.8602125,47.8936658,2.977777778,2.029827,,,,,emo02,1,2025-11-11_17h14.47.771,solo project_version2,,2025.1.1,59.95678315,2025-11-11 17h14.58.492564 +0530
D:\happyimage1.jpeg,3,3,0,up,1,0.8307269,None,0,5,1.1621823,0,3,3,0,48.0692795,,,,,,,,,48.0626424,48.0692795,48.8963656,49.0768178,49.4095077,49.493065,50.328079,up,1,0.8307269,None,0,50.3320454,50.3429887,50.3429887,51.5098889,5,1.1621823,,,,,emo02,1,2025-11-11_17h14.47.771,solo project_version2,,2025.1.1,59.95678315,2025-11-11 17h14.58.492564 +0530
D:\sadimage3.jpeg,4,4,0,up,0,0.5926734,None,2,3.996296296,1.7798372,0,4,4,9,51.5296185,,,,,,,,,51.5123028,51.5296185,52.5129852,52.5265463,53.0253351,53.1256155,53.7266727,up,0,0.5926734,None,2,53.73023,53.7425821,53.7425821,55.5263055,3.996296296,1.7798372,,,,,emo02,1,2025-11-11_17h14.47.771,solo project_version2,,2025.1.1,59.95678315,2025-11-11 17h14.58.492564 +0530
D:\happyimage2.jpeg,5,5,0,up,0,0.7313572,None,2,5,1.0106548,0,5,5,1,55.5457324,,,,,,,,,55.5286782,55.5457324,56.5291699,56.5428821,57.0421235,57.125753,57.8607497,up,0,0.7313572,None,2,57.8655232,57.8753343,57.8753343,58.8928311,5,1.0106548,,,,,emo02,1,2025-11-11_17h14.47.771,solo project_version2,,2025.1.1,59.95678315,2025-11-11 17h14.58.492564 +0530
D:\happyimage4.jpeg,6,6,0,down,1,0.7591759,None,-3,5,1.0125114,0,6,6,3,58.9135768,,,,,,,,,58.9066146,58.9135768,59.8958211,59.9259413,60.4087518,60.5086504,61.2762015,down,1,0.7591759,None,-3,61.2801405,61.2919833,61.2919833,62.3092139,5,1.0125114,,,,,emo02,1,2025-11-11_17h14.47.771,solo project_version2,,2025.1.1,59.95678315,2025-11-11 17h14.58.492564 +0530
D:\happyimage5.jpeg,7,7,0,up,1,0.698033,None,0,5,0.9938376,0,7,7,4,62.3286321,,,,,,,,,62.3116135,62.3286321,63.312295,63.3255973,63.8250458,63.9085292,64.6096627,up,1,0.698033,None,0,64.6156266,64.627692,64.627692,65.6253628,5,0.9938376,,,,,emo02,1,2025-11-11_17h14.47.771,solo project_version2,,2025.1.1,59.95678315,2025-11-11 17h14.58.492564 +0530
D:\sadimage5.jpeg,8,8,0,up,1,1.3570715,None,0,4,2.4454428,0,8,8,11,65.6449797,,,,,,,,,65.6273225,65.6449797,66.6279956,66.6416849,67.1411457,67.224782,68.5922026,up,1,1.3570715,None,0,68.5965098,68.6077267,68.6077267,71.0580827,4,2.4454428,,,,,emo02,1,2025-11-11_17h14.47.771,solo project_version2,,2025.1.1,59.95678315,2025-11-11 17h14.58.492564 +0530
