thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,Fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0,0,0,[np.float64(-0.39351851851851855)],[np.float64(0.019444444444444445)],[0],[0],[1],[5.085575500008417],['target'],0,0,0,0,0.0640760000096634,,10,0.04208370001288131,0.0640760000096634,0.0640760000096634,0.04211320000467822,5.127782100025797,[np.float64(-0.39351851851851855)],[np.float64(0.019444444444444445)],[0],[0],[1],[5.085575500008417],['target'],003,001,2025-09-30_20h21.25.668,Visual Search,,2025.1.1,59.81022216826589,2025-09-30 20h21.34.620850 +0530,
1,0,1,"[np.float64(-0.39351851851851855), np.float64(-0.049074074074074076)]","[np.float64(0.019444444444444445), np.float64(0.3314814814814815)]","[0, 0]","[0, 0]","[1, 1]","[0.0015493000100832433, 2.3659370000241324]","[None, 'target']",1,0,1,0,5.1702481000102125,,5,5.160096700012218,5.1702481000102125,5.1702481000102125,0.03189139999449253,7.526139900000999,"[np.float64(-0.39351851851851855), np.float64(-0.049074074074074076)]","[np.float64(0.019444444444444445), np.float64(0.3314814814814815)]","[0, 0]","[0, 0]","[1, 1]","[0.0015493000100832433, 2.3659370000241324]","[None, 'target']",003,001,2025-09-30_20h21.25.668,Visual Search,,2025.1.1,59.81022216826589,2025-09-30 20h21.34.620850 +0530,
2,0,2,"[np.float64(-0.049074074074074076), np.float64(0.18888888888888888)]","[np.float64(0.3314814814814815), np.float64(-0.021296296296296296)]","[0, 0]","[0, 0]","[1, 1]","[0.0006350000039674342, 2.262915300001623]","[None, 'target']",2,0,2,0,7.598395500011975,,10,7.581526100024348,7.598395500011975,7.598395500011975,0.05488029998377897,9.844823699997505,"[np.float64(-0.049074074074074076), np.float64(0.18888888888888888)]","[np.float64(0.3314814814814815), np.float64(-0.021296296296296296)]","[0, 0]","[0, 0]","[1, 1]","[0.0006350000039674342, 2.262915300001623]","[None, 'target']",003,001,2025-09-30_20h21.25.668,Visual Search,,2025.1.1,59.81022216826589,2025-09-30 20h21.34.620850 +0530,
3,0,3,"[np.float64(0.18888888888888888), np.float64(-0.020370370370370372)]","[np.float64(-0.021296296296296296), np.float64(0.17592592592592593)]","[0, 0]","[0, 0]","[1, 1]","[0.0006577000021934509, 1.561721000005491]","[None, 'target']",3,0,3,0,9.913063100015279,,10,9.900416000018595,9.913063100015279,9.913063100015279,0.05415839998750016,11.462279200000921,"[np.float64(0.18888888888888888), np.float64(-0.020370370370370372)]","[np.float64(-0.021296296296296296), np.float64(0.17592592592592593)]","[0, 0]","[0, 0]","[1, 1]","[0.0006577000021934509, 1.561721000005491]","[None, 'target']",003,001,2025-09-30_20h21.25.668,Visual Search,,2025.1.1,59.81022216826589,2025-09-30 20h21.34.620850 +0530,
4,0,4,"[np.float64(-0.020370370370370372), np.float64(0.1259259259259259)]","[np.float64(0.17592592592592593), np.float64(-0.44537037037037036)]","[0, 0]","[0, 0]","[1, 1]","[0.0006334999925456941, 2.540908800001489]","[None, 'target']",4,0,4,0,11.514143500011414,,10,11.500950900022872,11.514143500011414,11.514143500011414,0.03823890001513064,14.041977300017606,"[np.float64(-0.020370370370370372), np.float64(0.1259259259259259)]","[np.float64(0.17592592592592593), np.float64(-0.44537037037037036)]","[0, 0]","[0, 0]","[1, 1]","[0.0006334999925456941, 2.540908800001489]","[None, 'target']",003,001,2025-09-30_20h21.25.668,Visual Search,,2025.1.1,59.81022216826589,2025-09-30 20h21.34.620850 +0530,
5,0,5,"[np.float64(0.1259259259259259), np.float64(0.14537037037037037)]","[np.float64(-0.44537037037037036), np.float64(-0.2064814814814815)]","[0, 0]","[0, 0]","[1, 1]","[0.0006744000129401684, 1.5420478000014555]","[None, 'target']",5,0,5,0,14.099198300013086,,10,14.084210600005463,14.099198300013086,14.099198300013086,0.041808799986029044,15.626481100014644,"[np.float64(0.1259259259259259), np.float64(0.14537037037037037)]","[np.float64(-0.44537037037037036), np.float64(-0.2064814814814815)]","[0, 0]","[0, 0]","[1, 1]","[0.0006744000129401684, 1.5420478000014555]","[None, 'target']",003,001,2025-09-30_20h21.25.668,Visual Search,,2025.1.1,59.81022216826589,2025-09-30 20h21.34.620850 +0530,
6,0,6,"[np.float64(0.14537037037037037), np.float64(-0.21666666666666667)]","[np.float64(-0.2064814814814815), np.float64(-0.4685185185185185)]","[0, 0]","[0, 0]","[1, 1]","[0.000911599985556677, 1.835559499973897]","[None, 'target']",6,0,6,0,15.666691000020364,,5,15.65639300001203,15.666691000020364,15.666691000020364,0.029245999990962446,17.49208140000701,"[np.float64(0.14537037037037037), np.float64(-0.21666666666666667)]","[np.float64(-0.2064814814814815), np.float64(-0.4685185185185185)]","[0, 0]","[0, 0]","[1, 1]","[0.000911599985556677, 1.835559499973897]","[None, 'target']",003,001,2025-09-30_20h21.25.668,Visual Search,,2025.1.1,59.81022216826589,2025-09-30 20h21.34.620850 +0530,
7,0,7,"[np.float64(-0.21666666666666667), np.float64(-0.12407407407407407)]","[np.float64(-0.4685185185185185), np.float64(0.46944444444444444)]","[0, 0]","[0, 0]","[1, 1]","[0.0005679999885614961, 1.9727748000004794]","[None, 'target']",7,0,7,0,17.552353500010213,,10,17.53568970001652,17.552353500010213,17.552353500010213,0.043263500003376976,19.50853350001853,"[np.float64(-0.21666666666666667), np.float64(-0.12407407407407407)]","[np.float64(-0.4685185185185185), np.float64(0.46944444444444444)]","[0, 0]","[0, 0]","[1, 1]","[0.0005679999885614961, 1.9727748000004794]","[None, 'target']",003,001,2025-09-30_20h21.25.668,Visual Search,,2025.1.1,59.81022216826589,2025-09-30 20h21.34.620850 +0530,
8,0,8,"[np.float64(-0.12407407407407407), np.float64(0.11018518518518519)]","[np.float64(0.46944444444444444), np.float64(0.3824074074074074)]","[0, 0]","[0, 0]","[1, 1]","[0.000828499993076548, 1.6508340000000317]","[None, 'target']",8,0,8,0,19.53618570000981,,5,19.526099400012754,19.53618570000981,19.53618570000981,0.017370899993693456,21.177335100015625,"[np.float64(-0.12407407407407407), np.float64(0.11018518518518519)]","[np.float64(0.46944444444444444), np.float64(0.3824074074074074)]","[0, 0]","[0, 0]","[1, 1]","[0.000828499993076548, 1.6508340000000317]","[None, 'target']",003,001,2025-09-30_20h21.25.668,Visual Search,,2025.1.1,59.81022216826589,2025-09-30 20h21.34.620850 +0530,
9,0,9,"[np.float64(0.11018518518518519), np.float64(0.325)]","[np.float64(0.3824074074074074), np.float64(-0.10277777777777777)]","[0, 0]","[0, 0]","[1, 1]","[0.0007830999966245145, 1.7228809999942314]","[None, 'target']",9,0,9,0,21.2310276000062,,5,21.218750500003807,21.2310276000062,21.2310276000062,0.040247900004033,22.941750700003468,"[np.float64(0.11018518518518519), np.float64(0.325)]","[np.float64(0.3824074074074074), np.float64(-0.10277777777777777)]","[0, 0]","[0, 0]","[1, 1]","[0.0007830999966245145, 1.7228809999942314]","[None, 'target']",003,001,2025-09-30_20h21.25.668,Visual Search,,2025.1.1,59.81022216826589,2025-09-30 20h21.34.620850 +0530,
