thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,Fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0,0,0,[np.float64(0.10277777777777777)],[np.float64(0.31574074074074077)],[0],[0],[1],[6.160447100002784],['target'],0,0,0,0,0.031998800026485696,,5,0.022114100022008643,0.031998800026485696,0.031998800026485696,0.022140100016258657,6.182754200010095,[np.float64(0.10277777777777777)],[np.float64(0.31574074074074077)],[0],[0],[1],[6.160447100002784],['target'],002,001,2025-09-30_19h47.00.454,Visual Search,,2025.1.1,60.02469416553057,2025-09-30 19h47.12.858348 +0530,
1,0,1,"[np.float64(0.10277777777777777), np.float64(0.41574074074074074)]","[np.float64(0.31574074074074077), np.float64(-0.06296296296296296)]","[0, 0]","[0, 0]","[1, 1]","[0.0005404000112321228, 2.314085599995451]","[None, 'target']",1,0,1,0,6.226241800002754,,5,6.217515199998161,6.226241800002754,6.226241800002754,0.034304200002225116,8.532024600019213,"[np.float64(0.10277777777777777), np.float64(0.41574074074074074)]","[np.float64(0.31574074074074077), np.float64(-0.06296296296296296)]","[0, 0]","[0, 0]","[1, 1]","[0.0005404000112321228, 2.314085599995451]","[None, 'target']",002,001,2025-09-30_19h47.00.454,Visual Search,,2025.1.1,60.02469416553057,2025-09-30 19h47.12.858348 +0530,
2,0,2,[np.float64(-0.026851851851851852)],[np.float64(-0.3472222222222222)],[0],[0],[1],[5.327781900006812],['target'],2,0,2,0,8.558796199999051,,5,8.550142500025686,8.558796199999051,8.558796199999051,0.017035900003975257,13.878070200007642,[np.float64(-0.026851851851851852)],[np.float64(-0.3472222222222222)],[0],[0],[1],[5.327781900006812],['target'],002,001,2025-09-30_19h47.00.454,Visual Search,,2025.1.1,60.02469416553057,2025-09-30 19h47.12.858348 +0530,
3,0,3,[np.float64(-0.262037037037037)],[np.float64(0.42685185185185187)],[0],[0],[1],[2.6949583000096027],['target'],3,0,3,0,13.90828590001911,,5,13.898867800016887,13.90828590001911,13.90828590001911,0.02048460001242347,16.593948100024136,[np.float64(-0.262037037037037)],[np.float64(0.42685185185185187)],[0],[0],[1],[2.6949583000096027],['target'],002,001,2025-09-30_19h47.00.454,Visual Search,,2025.1.1,60.02469416553057,2025-09-30 19h47.12.858348 +0530,
4,0,4,[np.float64(-0.38333333333333336)],[np.float64(-0.06666666666666667)],[0],[0],[1],[1.9148636999889277],['target'],4,0,4,0,16.636657700000796,,5,16.628377700020792,16.636657700000796,16.636657700000796,0.034129299980122596,18.54332080000313,[np.float64(-0.38333333333333336)],[np.float64(-0.06666666666666667)],[0],[0],[1],[1.9148636999889277],['target'],002,001,2025-09-30_19h47.00.454,Visual Search,,2025.1.1,60.02469416553057,2025-09-30 19h47.12.858348 +0530,
5,0,5,[np.float64(0.47129629629629627)],[np.float64(-0.18055555555555555)],[0],[0],[1],[2.1801241999783088],['target'],5,0,5,0,18.57257980000577,,5,18.56357769999886,18.57257980000577,18.57257980000577,0.020031899999594316,20.74383350001881,[np.float64(0.47129629629629627)],[np.float64(-0.18055555555555555)],[0],[0],[1],[2.1801241999783088],['target'],002,001,2025-09-30_19h47.00.454,Visual Search,,2025.1.1,60.02469416553057,2025-09-30 19h47.12.858348 +0530,
6,0,6,[np.float64(-0.2518518518518518)],[np.float64(-0.387037037037037)],[0],[0],[1],[2.445386800012784],['target'],6,0,6,0,20.86351900000591,,10,20.84805050000432,20.86351900000591,20.86351900000591,0.10385149999638088,23.29352210002253,[np.float64(-0.2518518518518518)],[np.float64(-0.387037037037037)],[0],[0],[1],[2.445386800012784],['target'],002,001,2025-09-30_19h47.00.454,Visual Search,,2025.1.1,60.02469416553057,2025-09-30 19h47.12.858348 +0530,
7,0,7,[np.float64(-0.29444444444444445)],[np.float64(0.10462962962962963)],[0],[0],[1],[2.48941979999654],['target'],7,0,7,0,23.338036200002534,,10,23.32440189999761,23.338036200002534,23.338036200002534,0.030649599997559562,25.81410760001745,[np.float64(-0.29444444444444445)],[np.float64(0.10462962962962963)],[0],[0],[1],[2.48941979999654],['target'],002,001,2025-09-30_19h47.00.454,Visual Search,,2025.1.1,60.02469416553057,2025-09-30 19h47.12.858348 +0530,
8,0,8,[np.float64(0.29444444444444445)],[np.float64(0.25462962962962965)],[0],[0],[1],[2.847804199991515],['target'],8,0,8,0,25.875115400005598,,10,25.861191500007408,25.875115400005598,25.875115400005598,0.04631460001110099,28.709065300005022,[np.float64(0.29444444444444445)],[np.float64(0.25462962962962965)],[0],[0],[1],[2.847804199991515],['target'],002,001,2025-09-30_19h47.00.454,Visual Search,,2025.1.1,60.02469416553057,2025-09-30 19h47.12.858348 +0530,
9,0,9,[np.float64(-0.4287037037037037)],[np.float64(-0.1935185185185185)],[0],[0],[1],[2.3893349999852944],['target'],9,0,9,0,28.76746290002484,,10,28.753235600015614,28.76746290002484,28.76746290002484,0.043977600027574226,31.142657000018517,[np.float64(-0.4287037037037037)],[np.float64(-0.1935185185185185)],[0],[0],[1],[2.3893349999852944],['target'],002,001,2025-09-30_19h47.00.454,Visual Search,,2025.1.1,60.02469416553057,2025-09-30 19h47.12.858348 +0530,
10,0,10,[np.float64(0.15185185185185185)],[np.float64(0.462037037037037)],[0],[0],[1],[2.7557900000247173],['target'],10,0,10,0,31.201027800008887,,10,31.186688900023,31.201027800008887,31.201027800008887,0.04382600000826642,33.94259360001888,[np.float64(0.15185185185185185)],[np.float64(0.462037037037037)],[0],[0],[1],[2.7557900000247173],['target'],002,001,2025-09-30_19h47.00.454,Visual Search,,2025.1.1,60.02469416553057,2025-09-30 19h47.12.858348 +0530,
11,0,11,[np.float64(0.4)],[np.float64(0.2490740740740741)],[0],[0],[1],[2.6739794999884907],['target'],11,0,11,0,33.97747870002058,,5,33.96782460002578,33.97747870002058,33.97747870002058,0.024904599995352328,36.6418969000224,[np.float64(0.4)],[np.float64(0.2490740740740741)],[0],[0],[1],[2.6739794999884907],['target'],002,001,2025-09-30_19h47.00.454,Visual Search,,2025.1.1,60.02469416553057,2025-09-30 19h47.12.858348 +0530,
12,0,12,[np.float64(0.45925925925925926)],[np.float64(0.5)],[0],[0],[1],[3.551914100011345],['target'],12,0,12,0,36.688299300003564,,10,36.67251660002512,36.688299300003564,36.688299300003564,0.030456200009211898,40.22446029999992,[np.float64(0.45925925925925926)],[np.float64(0.5)],[0],[0],[1],[3.551914100011345],['target'],002,001,2025-09-30_19h47.00.454,Visual Search,,2025.1.1,60.02469416553057,2025-09-30 19h47.12.858348 +0530,
13,0,13,[np.float64(0.3398148148148148)],[np.float64(-0.1824074074074074)],[0],[0],[1],[2.5707225000078324],['target'],13,0,13,0,40.26806190001662,,10,40.25416190002579,40.26806190001662,40.26806190001662,0.02955370000563562,42.825016500020865,[np.float64(0.3398148148148148)],[np.float64(-0.1824074074074074)],[0],[0],[1],[2.5707225000078324],['target'],002,001,2025-09-30_19h47.00.454,Visual Search,,2025.1.1,60.02469416553057,2025-09-30 19h47.12.858348 +0530,
14,0,14,[np.float64(-0.475)],[np.float64(0.4185185185185185)],[0],[0],[1],[2.558040300005814],['target'],14,0,14,0,42.86023750001914,,5,42.85001600001124,42.86023750001914,42.86023750001914,0.024622099997941405,45.40819450002164,[np.float64(-0.475)],[np.float64(0.4185185185185185)],[0],[0],[1],[2.558040300005814],['target'],002,001,2025-09-30_19h47.00.454,Visual Search,,2025.1.1,60.02469416553057,2025-09-30 19h47.12.858348 +0530,
15,0,15,"[np.float64(-0.475), np.float64(0.49444444444444446)]","[np.float64(0.4185185185185185), np.float64(0.5)]","[0, 0]","[0, 0]","[1, 1]","[0.0005024000129196793, 2.545617800002219]","[None, 'target']",15,0,15,0,45.45977180000045,,10,45.444449300004635,45.45977180000045,45.45977180000045,0.035990499978652224,47.99013930000365,"[np.float64(-0.475), np.float64(0.49444444444444446)]","[np.float64(0.4185185185185185), np.float64(0.5)]","[0, 0]","[0, 0]","[1, 1]","[0.0005024000129196793, 2.545617800002219]","[None, 'target']",002,001,2025-09-30_19h47.00.454,Visual Search,,2025.1.1,60.02469416553057,2025-09-30 19h47.12.858348 +0530,
16,0,16,[np.float64(-0.3824074074074074)],[np.float64(0.24537037037037038)],[0],[0],[1],[2.174292500014417],['target'],16,0,16,0,48.03294660002575,,10,48.0187173000013,48.03294660002575,48.03294660002575,0.028330100001767278,50.19336320000002,[np.float64(-0.3824074074074074)],[np.float64(0.24537037037037038)],[0],[0],[1],[2.174292500014417],['target'],002,001,2025-09-30_19h47.00.454,Visual Search,,2025.1.1,60.02469416553057,2025-09-30 19h47.12.858348 +0530,
17,0,17,[np.float64(-0.475)],[np.float64(0.2601851851851852)],[0],[0],[1],[2.068564499990316],['target'],17,0,17,0,50.25569170000381,,10,50.24105650000274,50.25569170000381,50.25569170000381,0.046807399980025366,52.309711000008974,[np.float64(-0.475)],[np.float64(0.2601851851851852)],[0],[0],[1],[2.068564499990316],['target'],002,001,2025-09-30_19h47.00.454,Visual Search,,2025.1.1,60.02469416553057,2025-09-30 19h47.12.858348 +0530,
18,0,18,"[np.float64(-0.475), np.float64(-0.1175925925925926)]","[np.float64(0.2601851851851852), np.float64(0.24351851851851852)]","[0, 0]","[0, 0]","[1, 1]","[0.0007288999913726002, 1.6307890999887604]","[None, 'target']",18,0,18,0,52.3390003000095,,5,52.328872300015064,52.3390003000095,52.3390003000095,0.01894219999667257,53.95989300002111,"[np.float64(-0.475), np.float64(-0.1175925925925926)]","[np.float64(0.2601851851851852), np.float64(0.24351851851851852)]","[0, 0]","[0, 0]","[1, 1]","[0.0007288999913726002, 1.6307890999887604]","[None, 'target']",002,001,2025-09-30_19h47.00.454,Visual Search,,2025.1.1,60.02469416553057,2025-09-30 19h47.12.858348 +0530,
19,0,19,[np.float64(-0.12129629629629629)],[np.float64(-0.019444444444444445)],[0],[0],[1],[2.05942619999405],['target'],19,0,19,0,54.00679070001934,,5,53.99780209999881,54.00679070001934,54.00679070001934,0.03717080000205897,56.05738840001868,[np.float64(-0.12129629629629629)],[np.float64(-0.019444444444444445)],[0],[0],[1],[2.05942619999405],['target'],002,001,2025-09-30_19h47.00.454,Visual Search,,2025.1.1,60.02469416553057,2025-09-30 19h47.12.858348 +0530,
20,0,20,[np.float64(0.09351851851851851)],[np.float64(-0.19537037037037036)],[0],[0],[1],[3.3464628999936394],['target'],20,0,20,0,56.10872889999882,,10,56.0940284000244,56.10872889999882,56.10872889999882,0.03631369999493472,59.44059370001196,[np.float64(0.09351851851851851)],[np.float64(-0.19537037037037036)],[0],[0],[1],[3.3464628999936394],['target'],002,001,2025-09-30_19h47.00.454,Visual Search,,2025.1.1,60.02469416553057,2025-09-30 19h47.12.858348 +0530,
21,0,21,"[np.float64(0.09351851851851851), np.float64(-0.23796296296296296)]","[np.float64(-0.19537037037037036), np.float64(-0.08888888888888889)]","[0, 0]","[0, 0]","[0, 1]","[0.0019931999850086868, 1.990300199977355]","[None, 'target']",21,0,21,0,59.477260300016496,,5,59.466419100004714,59.477260300016496,59.477260300016496,0.02554259999305941,61.45689100000891,"[np.float64(0.09351851851851851), np.float64(-0.23796296296296296)]","[np.float64(-0.19537037037037036), np.float64(-0.08888888888888889)]","[0, 0]","[0, 0]","[0, 1]","[0.0019931999850086868, 1.990300199977355]","[None, 'target']",002,001,2025-09-30_19h47.00.454,Visual Search,,2025.1.1,60.02469416553057,2025-09-30 19h47.12.858348 +0530,
22,0,22,[np.float64(-0.22870370370370371)],[np.float64(-0.21574074074074073)],[0],[0],[1],[1.8670259999926202],['target'],22,0,22,0,61.50911720001022,,10,61.49456000002101,61.50911720001022,61.50911720001022,0.03732050000689924,63.36200270001427,[np.float64(-0.22870370370370371)],[np.float64(-0.21574074074074073)],[0],[0],[1],[1.8670259999926202],['target'],002,001,2025-09-30_19h47.00.454,Visual Search,,2025.1.1,60.02469416553057,2025-09-30 19h47.12.858348 +0530,
23,0,23,[np.float64(-0.21851851851851853)],[np.float64(0.34444444444444444)],[0],[0],[1],[4.103769799985457],['target'],23,0,23,0,63.39732320001349,,5,63.388019100006204,63.39732320001349,63.39732320001349,0.02477829999406822,67.49205390000134,[np.float64(-0.21851851851851853)],[np.float64(0.34444444444444444)],[0],[0],[1],[4.103769799985457],['target'],002,001,2025-09-30_19h47.00.454,Visual Search,,2025.1.1,60.02469416553057,2025-09-30 19h47.12.858348 +0530,
24,0,24,[np.float64(-0.0824074074074074)],[np.float64(0.47314814814814815)],[0],[0],[1],[2.2947921000013594],['target'],24,0,24,0,67.55690750002395,,10,67.54332019999856,67.55690750002395,67.55690750002395,0.050652300007641315,69.83821100002388,[np.float64(-0.0824074074074074)],[np.float64(0.47314814814814815)],[0],[0],[1],[2.2947921000013594],['target'],002,001,2025-09-30_19h47.00.454,Visual Search,,2025.1.1,60.02469416553057,2025-09-30 19h47.12.858348 +0530,
25,0,25,[np.float64(0.19074074074074074)],[np.float64(-0.45740740740740743)],[0],[0],[1],[3.5706826000241563],['target'],25,0,25,0,69.88256540001021,,10,69.86819750000723,69.88256540001021,69.88256540001021,0.029750099987722933,73.43899410002632,[np.float64(0.19074074074074074)],[np.float64(-0.45740740740740743)],[0],[0],[1],[3.5706826000241563],['target'],002,001,2025-09-30_19h47.00.454,Visual Search,,2025.1.1,60.02469416553057,2025-09-30 19h47.12.858348 +0530,
26,0,26,"[np.float64(0.19074074074074074), np.float64(-0.41759259259259257)]","[np.float64(-0.45740740740740743), np.float64(0.1675925925925926)]","[0, 0]","[0, 0]","[1, 1]","[0.0006852000078652054, 3.751197100005811]","[None, 'target']",26,0,26,0,73.46525600002497,,5,73.45596290001413,73.46525600002497,73.46525600002497,0.01674970000749454,77.2075831000111,"[np.float64(0.19074074074074074), np.float64(-0.41759259259259257)]","[np.float64(-0.45740740740740743), np.float64(0.1675925925925926)]","[0, 0]","[0, 0]","[1, 1]","[0.0006852000078652054, 3.751197100005811]","[None, 'target']",002,001,2025-09-30_19h47.00.454,Visual Search,,2025.1.1,60.02469416553057,2025-09-30 19h47.12.858348 +0530,
27,0,27,[np.float64(0.28425925925925927)],[np.float64(-0.46574074074074073)],[0],[0],[1],[2.6502106999978423],['target'],27,0,27,0,77.26761840001564,,10,77.25401630002307,77.26761840001564,77.26761840001564,0.04523439999320544,79.90435409999918,[np.float64(0.28425925925925927)],[np.float64(-0.46574074074074073)],[0],[0],[1],[2.6502106999978423],['target'],002,001,2025-09-30_19h47.00.454,Visual Search,,2025.1.1,60.02469416553057,2025-09-30 19h47.12.858348 +0530,
28,0,28,[np.float64(0.3277777777777778)],[np.float64(-0.225)],[0],[0],[1],[2.0623716000118293],['target'],28,0,28,0,79.95685139999841,,10,79.94294960002298,79.95685139999841,79.95685139999841,0.038301599997794256,82.00554199999897,[np.float64(0.3277777777777778)],[np.float64(-0.225)],[0],[0],[1],[2.0623716000118293],['target'],002,001,2025-09-30_19h47.00.454,Visual Search,,2025.1.1,60.02469416553057,2025-09-30 19h47.12.858348 +0530,
29,0,29,[np.float64(-0.28425925925925927)],[np.float64(-0.17592592592592593)],[0],[0],[1],[3.128334699984407],['target'],29,0,29,0,82.05897160002496,,10,82.04500410001492,82.05897160002496,82.05897160002496,0.038932800001930445,85.17343439999968,[np.float64(-0.28425925925925927)],[np.float64(-0.17592592592592593)],[0],[0],[1],[3.128334699984407],['target'],002,001,2025-09-30_19h47.00.454,Visual Search,,2025.1.1,60.02469416553057,2025-09-30 19h47.12.858348 +0530,
30,0,30,"[np.float64(-0.28425925925925927), np.float64(-0.31296296296296294)]","[np.float64(-0.17592592592592593), np.float64(-0.4388888888888889)]","[0, 0]","[0, 0]","[1, 1]","[0.0018841999990399927, 2.803581500018481]","[None, 'target']",30,0,30,0,85.21216429999913,,5,85.19936160001089,85.21216429999913,85.21216429999913,0.025676599994767457,88.00305600001593,"[np.float64(-0.28425925925925927), np.float64(-0.31296296296296294)]","[np.float64(-0.17592592592592593), np.float64(-0.4388888888888889)]","[0, 0]","[0, 0]","[1, 1]","[0.0018841999990399927, 2.803581500018481]","[None, 'target']",002,001,2025-09-30_19h47.00.454,Visual Search,,2025.1.1,60.02469416553057,2025-09-30 19h47.12.858348 +0530,
