thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,Fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0,0,0,[np.float64(0.1574074074074074)],[np.float64(-0.026851851851851852)],[0],[0],[1],[2.151060000003781],['target'],0,0,0,0,0.055857300001662225,,10,0.038967000000411645,0.055857300001662225,0.055857300001662225,0.038989299995591864,2.190090300020529,[np.float64(0.1574074074074074)],[np.float64(-0.026851851851851852)],[0],[0],[1],[2.151060000003781],['target'],005,001,2025-09-30_20h40.14.319,Visual Search,,2025.1.1,60.061575120214684,2025-09-30 20h40.23.843514 +0530,
1,0,1,"[np.float64(0.1574074074074074), np.float64(0.2712962962962963)]","[np.float64(-0.026851851851851852), np.float64(-0.016666666666666666)]","[0, 0]","[0, 0]","[1, 1]","[0.0005789999850094318, 1.4216207999852486]","[None, 'target']",1,0,1,0,2.2331578000157606,,10,2.2177921000111382,2.2331578000157606,2.2331578000157606,0.027530699997441843,3.6395524000108708,"[np.float64(0.1574074074074074), np.float64(0.2712962962962963)]","[np.float64(-0.026851851851851852), np.float64(-0.016666666666666666)]","[0, 0]","[0, 0]","[1, 1]","[0.0005789999850094318, 1.4216207999852486]","[None, 'target']",005,001,2025-09-30_20h40.14.319,Visual Search,,2025.1.1,60.061575120214684,2025-09-30 20h40.23.843514 +0530,
2,0,2,[np.float64(0.45)],[np.float64(0.40555555555555556)],[0],[0],[1],[3.6795973000116646],['target'],2,0,2,0,3.6708797000173945,,5,3.662558000010904,3.6708797000173945,3.6708797000173945,0.02262540001538582,7.342382800008636,[np.float64(0.45)],[np.float64(0.40555555555555556)],[0],[0],[1],[3.6795973000116646],['target'],005,001,2025-09-30_20h40.14.319,Visual Search,,2025.1.1,60.061575120214684,2025-09-30 20h40.23.843514 +0530,
3,0,3,[np.float64(-0.27314814814814814)],[np.float64(0.44166666666666665)],[0],[0],[1],[1.662137100007385],['target'],3,0,3,0,7.37521560001187,,5,7.365977500012377,7.37521560001187,7.37521560001187,0.022749399999156594,9.028625000006286,[np.float64(-0.27314814814814814)],[np.float64(0.44166666666666665)],[0],[0],[1],[1.662137100007385],['target'],005,001,2025-09-30_20h40.14.319,Visual Search,,2025.1.1,60.061575120214684,2025-09-30 20h40.23.843514 +0530,
4,0,4,"[np.float64(-0.27314814814814814), np.float64(-0.36666666666666664)]","[np.float64(0.44166666666666665), np.float64(0.22870370370370371)]","[0, 0]","[0, 0]","[1, 1]","[0.000586000009207055, 1.8753878999850713]","[None, 'target']",4,0,4,0,9.075800700025866,,5,9.065989599999739,9.075800700025866,9.075800700025866,0.03660180000588298,10.941611300018849,"[np.float64(-0.27314814814814814), np.float64(-0.36666666666666664)]","[np.float64(0.44166666666666665), np.float64(0.22870370370370371)]","[0, 0]","[0, 0]","[1, 1]","[0.000586000009207055, 1.8753878999850713]","[None, 'target']",005,001,2025-09-30_20h40.14.319,Visual Search,,2025.1.1,60.061575120214684,2025-09-30 20h40.23.843514 +0530,
5,0,5,[np.float64(0.020370370370370372)],[np.float64(0.1537037037037037)],[0],[0],[1],[1.643915199994808],['target'],5,0,5,0,10.97353300001123,,5,10.965064600022743,10.97353300001123,10.97353300001123,0.022746100003132597,12.609250700013945,[np.float64(0.020370370370370372)],[np.float64(0.1537037037037037)],[0],[0],[1],[1.643915199994808],['target'],005,001,2025-09-30_20h40.14.319,Visual Search,,2025.1.1,60.061575120214684,2025-09-30 20h40.23.843514 +0530,
6,0,6,[np.float64(-0.012962962962962963)],[np.float64(-0.49444444444444446)],[0],[0],[1],[2.103117700025905],['target'],6,0,6,0,12.685152000020025,,10,12.671057300001848,12.685152000020025,12.685152000020025,0.060721499990904704,14.774388200021349,[np.float64(-0.012962962962962963)],[np.float64(-0.49444444444444446)],[0],[0],[1],[2.103117700025905],['target'],005,001,2025-09-30_20h40.14.319,Visual Search,,2025.1.1,60.061575120214684,2025-09-30 20h40.23.843514 +0530,
7,0,7,[np.float64(-0.4305555555555556)],[np.float64(0.03148148148148148)],[0],[0],[1],[2.7667327000235673],['target'],7,0,7,0,14.882173800026067,,5,14.872270000021672,14.882173800026067,14.882173800026067,0.09732139998232014,17.639133300021058,[np.float64(-0.4305555555555556)],[np.float64(0.03148148148148148)],[0],[0],[1],[2.7667327000235673],['target'],005,001,2025-09-30_20h40.14.319,Visual Search,,2025.1.1,60.061575120214684,2025-09-30 20h40.23.843514 +0530,
8,0,8,[np.float64(-0.14907407407407408)],[np.float64(0.47314814814814815)],[0],[0],[1],[1.7293993000057526],['target'],8,0,8,0,17.669847800018033,,5,17.660760800004937,17.669847800018033,17.669847800018033,0.02132040000287816,19.390554900019197,[np.float64(-0.14907407407407408)],[np.float64(0.47314814814814815)],[0],[0],[1],[1.7293993000057526],['target'],005,001,2025-09-30_20h40.14.319,Visual Search,,2025.1.1,60.061575120214684,2025-09-30 20h40.23.843514 +0530,
9,0,9,[np.float64(-0.3814814814814815)],[np.float64(-0.275)],[0],[0],[1],[2.8702799000020605],['target'],9,0,9,0,19.452113400009694,,10,19.437623900012113,19.452113400009694,19.452113400009694,0.046056399994995445,22.308324800018454,[np.float64(-0.3814814814814815)],[np.float64(-0.275)],[0],[0],[1],[2.8702799000020605],['target'],005,001,2025-09-30_20h40.14.319,Visual Search,,2025.1.1,60.061575120214684,2025-09-30 20h40.23.843514 +0530,
10,0,10,"[np.float64(-0.3814814814814815), np.float64(0.375)]","[np.float64(-0.275), np.float64(0.4666666666666667)]","[0, 0]","[0, 0]","[0, 1]","[0.0018973999831359833, 2.247598799993284]","[None, 'target']",10,0,10,0,22.372844800003804,,5,22.357595000008587,22.372844800003804,22.372844800003804,0.047939299984136596,24.605311500024982,"[np.float64(-0.3814814814814815), np.float64(0.375)]","[np.float64(-0.275), np.float64(0.4666666666666667)]","[0, 0]","[0, 0]","[0, 1]","[0.0018973999831359833, 2.247598799993284]","[None, 'target']",005,001,2025-09-30_20h40.14.319,Visual Search,,2025.1.1,60.061575120214684,2025-09-30 20h40.23.843514 +0530,
11,0,11,[np.float64(-0.29907407407407405)],[np.float64(0.09259259259259259)],[0],[0],[1],[4.121230999997351],['target'],11,0,11,0,24.66391930001555,,10,24.64900220002164,24.66391930001555,24.66391930001555,0.043275500007439405,28.770287500025006,[np.float64(-0.29907407407407405)],[np.float64(0.09259259259259259)],[0],[0],[1],[4.121230999997351],['target'],005,001,2025-09-30_20h40.14.319,Visual Search,,2025.1.1,60.061575120214684,2025-09-30 20h40.23.843514 +0530,
12,0,12,[np.float64(0.15925925925925927)],[np.float64(-0.13703703703703704)],[0],[0],[1],[2.2408566999947652],['target'],12,0,12,0,28.812434000021312,,10,28.798076900013257,28.812434000021312,28.812434000021312,0.027659499988658354,31.039133800019044,[np.float64(0.15925925925925927)],[np.float64(-0.13703703703703704)],[0],[0],[1],[2.2408566999947652],['target'],005,001,2025-09-30_20h40.14.319,Visual Search,,2025.1.1,60.061575120214684,2025-09-30 20h40.23.843514 +0530,
13,0,13,[np.float64(0.05277777777777778)],[np.float64(-0.15185185185185185)],[0],[0],[1],[2.795578800025396],['target'],13,0,13,0,31.06841170002008,,5,31.058457800012548,31.06841170002008,31.06841170002008,0.01864900000509806,33.854189600009704,[np.float64(0.05277777777777778)],[np.float64(-0.15185185185185185)],[0],[0],[1],[2.795578800025396],['target'],005,001,2025-09-30_20h40.14.319,Visual Search,,2025.1.1,60.061575120214684,2025-09-30 20h40.23.843514 +0530,
14,0,14,[np.float64(0.1962962962962963)],[np.float64(-0.13055555555555556)],[0],[0],[1],[2.651592799986247],['target'],14,0,14,0,33.899453100020764,,10,33.884970400016755,33.899453100020764,33.899453100020764,0.030518799991114065,36.53667370000039,[np.float64(0.1962962962962963)],[np.float64(-0.13055555555555556)],[0],[0],[1],[2.651592799986247],['target'],005,001,2025-09-30_20h40.14.319,Visual Search,,2025.1.1,60.061575120214684,2025-09-30 20h40.23.843514 +0530,
15,0,15,"[np.float64(0.1962962962962963), np.float64(-0.06851851851851852)]","[np.float64(-0.13055555555555556), np.float64(0.2574074074074074)]","[0, 0]","[0, 0]","[1, 1]","[0.0006385000015143305, 2.0888436999812257]","[None, 'target']",15,0,15,0,36.579288900014944,,10,36.56511130000581,36.579288900014944,36.579288900014944,0.028079900017473847,38.65404040002613,"[np.float64(0.1962962962962963), np.float64(-0.06851851851851852)]","[np.float64(-0.13055555555555556), np.float64(0.2574074074074074)]","[0, 0]","[0, 0]","[1, 1]","[0.0006385000015143305, 2.0888436999812257]","[None, 'target']",005,001,2025-09-30_20h40.14.319,Visual Search,,2025.1.1,60.061575120214684,2025-09-30 20h40.23.843514 +0530,
16,0,16,[np.float64(0.14074074074074075)],[np.float64(-0.06296296296296296)],[0],[0],[1],[1.5103421999956481],['target'],16,0,16,0,38.687123600015184,,5,38.6765934000141,38.687123600015184,38.687123600015184,0.02226719999453053,40.18708310002694,[np.float64(0.14074074074074075)],[np.float64(-0.06296296296296296)],[0],[0],[1],[1.5103421999956481],['target'],005,001,2025-09-30_20h40.14.319,Visual Search,,2025.1.1,60.061575120214684,2025-09-30 20h40.23.843514 +0530,
17,0,17,[np.float64(0.10740740740740741)],[np.float64(-0.14537037037037037)],[0],[0],[1],[2.506136299984064],['target'],17,0,17,0,40.22256760002347,,5,40.21327910001855,40.22256760002347,40.22256760002347,0.025795399997150525,42.719557400007034,[np.float64(0.10740740740740741)],[np.float64(-0.14537037037037037)],[0],[0],[1],[2.506136299984064],['target'],005,001,2025-09-30_20h40.14.319,Visual Search,,2025.1.1,60.061575120214684,2025-09-30 20h40.23.843514 +0530,
18,0,18,"[np.float64(0.10740740740740741), np.float64(0.43703703703703706)]","[np.float64(-0.14537037037037037), np.float64(0.43703703703703706)]","[0, 0]","[0, 0]","[1, 1]","[0.0012095000129193068, 1.8064769000047818]","[None, 'target']",18,0,18,0,42.757095200009644,,5,42.74614600001951,42.757095200009644,42.757095200009644,0.026225399982649833,44.55281060002744,"[np.float64(0.10740740740740741), np.float64(0.43703703703703706)]","[np.float64(-0.14537037037037037), np.float64(0.43703703703703706)]","[0, 0]","[0, 0]","[1, 1]","[0.0012095000129193068, 1.8064769000047818]","[None, 'target']",005,001,2025-09-30_20h40.14.319,Visual Search,,2025.1.1,60.061575120214684,2025-09-30 20h40.23.843514 +0530,
19,0,19,[np.float64(-0.31296296296296294)],[np.float64(0.3490740740740741)],[0],[0],[1],[1.698472199990647],['target'],19,0,19,0,44.59881660001702,,5,44.58988740001223,44.59881660001702,44.59881660001702,0.03637170000001788,46.28875920001883,[np.float64(-0.31296296296296294)],[np.float64(0.3490740740740741)],[0],[0],[1],[1.698472199990647],['target'],005,001,2025-09-30_20h40.14.319,Visual Search,,2025.1.1,60.061575120214684,2025-09-30 20h40.23.843514 +0530,
20,0,20,[np.float64(-0.38333333333333336)],[np.float64(-0.17037037037037037)],[0],[0],[1],[2.1412379999819677],['target'],20,0,20,0,46.323159700026736,,5,46.3135675000085,46.323159700026736,46.323159700026736,0.023769699997501448,48.45507520000683,[np.float64(-0.38333333333333336)],[np.float64(-0.17037037037037037)],[0],[0],[1],[2.1412379999819677],['target'],005,001,2025-09-30_20h40.14.319,Visual Search,,2025.1.1,60.061575120214684,2025-09-30 20h40.23.843514 +0530,
