thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,Fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0,0,0,[np.float64(0.17407407407407408)],[np.float64(0.1962962962962963)],[0],[0],[1],[6.827826900000218],['target'],0,0,0,0,0.06118879999849014,,10,0.04370720000588335,0.06118879999849014,0.06118879999849014,0.04373080001096241,6.871681800024817,[np.float64(0.17407407407407408)],[np.float64(0.1962962962962963)],[0],[0],[1],[6.827826900000218],['target'],001,001,2025-09-30_19h38.22.326,Visual Search,,2025.1.1,60.01925417312558,2025-09-30 19h38.35.536075 +0530,
1,0,1,"[np.float64(0.17407407407407408), np.float64(-0.40925925925925927)]","[np.float64(0.1962962962962963), np.float64(-0.3768518518518518)]","[0, 0]","[0, 0]","[1, 1]","[0.0009332000045105815, 1.8357145999907516]","[None, 'target']",1,0,1,0,6.9322896000230685,,10,6.917306200019084,6.9322896000230685,6.9322896000230685,0.04518929999903776,8.753087800025241,"[np.float64(0.17407407407407408), np.float64(-0.40925925925925927)]","[np.float64(0.1962962962962963), np.float64(-0.3768518518518518)]","[0, 0]","[0, 0]","[1, 1]","[0.0009332000045105815, 1.8357145999907516]","[None, 'target']",001,001,2025-09-30_19h38.22.326,Visual Search,,2025.1.1,60.01925417312558,2025-09-30 19h38.35.536075 +0530,
2,0,2,"[np.float64(-0.40925925925925927), np.float64(0.1388888888888889)]","[np.float64(-0.3768518518518518), np.float64(0.1787037037037037)]","[0, 0]","[0, 0]","[1, 1]","[0.0006298000225797296, 1.4011119000206236]","[None, 'target']",2,0,2,0,8.777363500004867,,5,8.76941710000392,8.777363500004867,8.777363500004867,0.01604419999057427,10.170762100024149,"[np.float64(-0.40925925925925927), np.float64(0.1388888888888889)]","[np.float64(-0.3768518518518518), np.float64(0.1787037037037037)]","[0, 0]","[0, 0]","[1, 1]","[0.0006298000225797296, 1.4011119000206236]","[None, 'target']",001,001,2025-09-30_19h38.22.326,Visual Search,,2025.1.1,60.01925417312558,2025-09-30 19h38.35.536075 +0530,
3,0,3,"[np.float64(0.1388888888888889), np.float64(-0.025925925925925925)]","[np.float64(0.1787037037037037), np.float64(-0.38981481481481484)]","[0, 0]","[0, 0]","[1, 1]","[0.0011600999860092998, 3.136118099995656]","[None, 'target']",3,0,3,0,10.213683800015133,,5,10.20159209999838,10.213683800015133,10.213683800015133,0.03017010001349263,13.337953300011577,"[np.float64(0.1388888888888889), np.float64(-0.025925925925925925)]","[np.float64(0.1787037037037037), np.float64(-0.38981481481481484)]","[0, 0]","[0, 0]","[1, 1]","[0.0011600999860092998, 3.136118099995656]","[None, 'target']",001,001,2025-09-30_19h38.22.326,Visual Search,,2025.1.1,60.01925417312558,2025-09-30 19h38.35.536075 +0530,
4,0,4,"[np.float64(-0.025925925925925925), np.float64(-0.12777777777777777)]","[np.float64(-0.38981481481481484), np.float64(-0.007407407407407408)]","[0, 0]","[0, 0]","[1, 1]","[0.0005521999846678227, 1.5615256000019144]","[None, 'target']",4,0,4,0,13.40356370000518,,10,13.390818600018974,13.40356370000518,13.40356370000518,0.05219840002246201,14.952484800014645,"[np.float64(-0.025925925925925925), np.float64(-0.12777777777777777)]","[np.float64(-0.38981481481481484), np.float64(-0.007407407407407408)]","[0, 0]","[0, 0]","[1, 1]","[0.0005521999846678227, 1.5615256000019144]","[None, 'target']",001,001,2025-09-30_19h38.22.326,Visual Search,,2025.1.1,60.01925417312558,2025-09-30 19h38.35.536075 +0530,
5,0,5,"[np.float64(-0.12777777777777777), np.float64(-0.34814814814814815)]","[np.float64(-0.007407407407407408), np.float64(-0.38425925925925924)]","[0, 0]","[0, 0]","[1, 1]","[0.0006117000011727214, 1.9605788000044413]","[None, 'target']",5,0,5,0,15.007825500011677,,10,14.994345900020562,15.007825500011677,15.007825500011677,0.041470799973467365,16.955148600012762,"[np.float64(-0.12777777777777777), np.float64(-0.34814814814814815)]","[np.float64(-0.007407407407407408), np.float64(-0.38425925925925924)]","[0, 0]","[0, 0]","[1, 1]","[0.0006117000011727214, 1.9605788000044413]","[None, 'target']",001,001,2025-09-30_19h38.22.326,Visual Search,,2025.1.1,60.01925417312558,2025-09-30 19h38.35.536075 +0530,
6,0,6,[np.float64(-0.3074074074074074)],[np.float64(-0.03148148148148148)],[0],[0],[1],[3.2134697000146843],['target'],6,0,6,0,17.075671400001738,,10,17.059139500022866,17.075671400001738,17.075671400001738,0.10302169999340549,20.27306010000757,[np.float64(-0.3074074074074074)],[np.float64(-0.03148148148148148)],[0],[0],[1],[3.2134697000146843],['target'],001,001,2025-09-30_19h38.22.326,Visual Search,,2025.1.1,60.01925417312558,2025-09-30 19h38.35.536075 +0530,
7,0,7,[np.float64(0.4444444444444444)],[np.float64(0.23425925925925925)],[0],[0],[1],[2.937190599972382],['target'],7,0,7,0,20.347122000006493,,10,20.332436199998483,20.347122000006493,20.347122000006493,0.05806089998804964,23.269744200020796,[np.float64(0.4444444444444444)],[np.float64(0.23425925925925925)],[0],[0],[1],[2.937190599972382],['target'],001,001,2025-09-30_19h38.22.326,Visual Search,,2025.1.1,60.01925417312558,2025-09-30 19h38.35.536075 +0530,
8,0,8,"[np.float64(0.014814814814814815), np.float64(-0.044444444444444446)]","[np.float64(-0.02962962962962963), np.float64(0.16944444444444445)]","[0, 0]","[0, 0]","[1, 1]","[2.659078700002283, 4.5877296999969985]","[None, 'target']",8,0,8,0,23.312079000024823,,10,23.29729740001494,23.312079000024823,23.312079000024823,0.0271636999968905,27.88525690001552,"[np.float64(0.014814814814814815), np.float64(-0.044444444444444446)]","[np.float64(-0.02962962962962963), np.float64(0.16944444444444445)]","[0, 0]","[0, 0]","[1, 1]","[2.659078700002283, 4.5877296999969985]","[None, 'target']",001,001,2025-09-30_19h38.22.326,Visual Search,,2025.1.1,60.01925417312558,2025-09-30 19h38.35.536075 +0530,
9,0,9,"[np.float64(-0.044444444444444446), np.float64(0.2833333333333333)]","[np.float64(0.16944444444444445), np.float64(-0.2962962962962963)]","[0, 0]","[0, 0]","[1, 1]","[0.0006091000104788691, 1.8517902000166941]","[None, 'target']",9,0,9,0,27.92528170000878,,5,27.916083100019023,27.92528170000878,27.92528170000878,0.0299681999895256,29.768115800019586,"[np.float64(-0.044444444444444446), np.float64(0.2833333333333333)]","[np.float64(0.16944444444444445), np.float64(-0.2962962962962963)]","[0, 0]","[0, 0]","[1, 1]","[0.0006091000104788691, 1.8517902000166941]","[None, 'target']",001,001,2025-09-30_19h38.22.326,Visual Search,,2025.1.1,60.01925417312558,2025-09-30 19h38.35.536075 +0530,
