thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,tilt,slider.response,slider.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instructions.started,text.started,Instructions.stopped,trial.started,Fixation.started,key_resp.started,Fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials.tilt,rating.started,slider.started,text_2.started,rating.stopped,trials.slider.response,trials.slider.rt,Thankyou.started,text_3.started,text_3.stopped,Thankyou.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
14,0,14,down,1,0.7731246,None,-3,3.988888889,2.7634603,14,0,14,0,73.1816692,,,,,73.1638735,73.1816692,74.1655745,74.1791103,74.9463535,down,1,0.7731246,None,-3,74.9498521,74.9619511,74.9619511,77.7291347,3.988888889,2.7634603,,,,,1,1,2025-11-08_22h57.57.186,solo project,,2025.1.1,60.01003368,2025-11-08 22h58.04.932069 +0530
15,0,15,down,0,0.855782,None,0,1.992592593,2.7461058,15,0,15,0,77.7478637,,,,,77.7293452,77.7478637,78.7315427,78.7451766,79.5960423,down,0,0.855782,None,0,79.5994613,79.611616,79.611616,82.361875,1.992592593,2.7461058,,,,,1,1,2025-11-08_22h57.57.186,solo project,,2025.1.1,60.01003368,2025-11-08 22h58.04.932069 +0530
16,0,16,up,1,1.1552068,None,0,5,2.5129377,16,0,16,0,82.3807867,,,,,82.3622348,82.3807867,83.3644499,83.377891,84.528799,up,1,1.1552068,None,0,84.5322442,84.5444732,84.5444732,87.061667,5,2.5129377,,,,,1,1,2025-11-08_22h57.57.186,solo project,,2025.1.1,60.01003368,2025-11-08 22h58.04.932069 +0530
17,0,17,up,1,0.7462362,None,0,5,1.2787559,17,0,17,0,87.0804008,,,,,87.0618902,87.0804008,88.0637389,88.077321,88.8116314,up,1,0.7462362,None,0,88.8160806,88.8273697,88.8273697,90.1110563,5,1.2787559,,,,,1,1,2025-11-08_22h57.57.186,solo project,,2025.1.1,60.01003368,2025-11-08 22h58.04.932069 +0530
18,0,18,up,1,0.512459,None,0,5,1.199852,18,0,18,0,90.1301542,,,,,90.1112652,90.1301542,91.1139468,91.1273863,91.6281216,up,1,0.512459,None,0,91.6330667,91.6435435,91.6435435,92.8440865,5,1.199852,,,,,1,1,2025-11-08_22h57.57.186,solo project,,2025.1.1,60.01003368,2025-11-08 22h58.04.932069 +0530
19,0,19,up,0,0.5132414,None,1,5,1.2286398,19,0,19,0,92.863585,,,,,92.84431,92.863585,93.8467817,93.8602359,94.361377,up,0,0.5132414,None,1,94.3656549,94.3765559,94.3765559,95.6106865,5,1.2286398,,,,,1,1,2025-11-08_22h57.57.186,solo project,,2025.1.1,60.01003368,2025-11-08 22h58.04.932069 +0530
20,0,20,down,1,0.9329772,None,5,3.974074074,1.7288461,20,0,20,0,95.6294869,,,,,95.6109204,95.6294869,96.6131403,96.6266057,97.5608753,down,1,0.9329772,None,5,97.5651612,97.5762373,97.5762373,99.31021,3.974074074,1.7288461,,,,,1,1,2025-11-08_22h57.57.186,solo project,,2025.1.1,60.01003368,2025-11-08 22h58.04.932069 +0530
21,0,21,down,1,0.6819268,None,7,5,1.32999,21,0,21,0,99.3289726,,,,,99.3104402,99.3289726,100.3129621,100.3263715,101.0100371,down,1,0.6819268,None,7,101.0134522,101.0259619,101.0259619,102.3599878,5,1.32999,,,,,1,1,2025-11-08_22h57.57.186,solo project,,2025.1.1,60.01003368,2025-11-08 22h58.04.932069 +0530
22,0,22,up,1,0.8846784,None,0,3.959259259,1.5612318,22,0,22,0,102.3789108,,,,,102.3601962,102.3789108,103.3625508,103.3760788,104.2603493,up,1,0.8846784,None,0,104.2653631,104.275553,104.275553,105.8428693,3.959259259,1.5612318,,,,,1,1,2025-11-08_22h57.57.186,solo project,,2025.1.1,60.01003368,2025-11-08 22h58.04.932069 +0530
23,0,23,up,1,0.6498959,None,0,2.985185185,1.5456889,23,0,23,0,105.8616416,,,,,105.8430876,105.8616416,106.8455023,106.8591403,107.5099785,up,1,0.6498959,None,0,107.5137457,107.5254815,107.5254815,109.0761478,2.985185185,1.5456889,,,,,1,1,2025-11-08_22h57.57.186,solo project,,2025.1.1,60.01003368,2025-11-08 22h58.04.932069 +0530
24,0,24,down,1,0.9241936,None,-3,5,1.7955735,24,0,24,0,109.0950936,,,,,109.0765528,109.0950936,110.0785642,110.0918788,111.0092522,down,1,0.9241936,None,-3,111.0135512,111.0251176,111.0251176,112.8253837,5,1.7955735,,,,,1,1,2025-11-08_22h57.57.186,solo project,,2025.1.1,60.01003368,2025-11-08 22h58.04.932069 +0530
25,0,25,down,1,0.6685095,None,7,5,1.3834607,25,0,25,0,112.8447672,,,,,112.8255903,112.8447672,113.8281066,113.8417653,114.5078724,down,1,0.6685095,None,7,114.5089883,114.5242155,114.5242155,115.9085,5,1.3834607,,,,,1,1,2025-11-08_22h57.57.186,solo project,,2025.1.1,60.01003368,2025-11-08 22h58.04.932069 +0530
26,0,26,up,1,0.7124528,None,0,4.918518519,2.0464553,26,0,26,0,115.9274649,,,,,115.9087304,115.9274649,116.9112111,116.9249074,117.6252629,up,1,0.7124528,None,0,117.6286907,117.6410331,117.6410331,119.6913886,4.918518519,2.0464553,,,,,1,1,2025-11-08_22h57.57.186,solo project,,2025.1.1,60.01003368,2025-11-08 22h58.04.932069 +0530
27,0,27,up,1,0.7119045,None,0,5,1.1796736,27,0,27,0,119.7107457,,,,,119.6915856,119.7107457,120.6942926,120.7077267,121.4082685,up,1,0.7119045,None,0,121.4119001,121.4239648,121.4239648,122.607722,5,1.1796736,,,,,1,1,2025-11-08_22h57.57.186,solo project,,2025.1.1,60.01003368,2025-11-08 22h58.04.932069 +0530
28,0,28,up,1,0.6822441,None,0,5,1.4279472,28,0,28,0,122.6272789,,,,,122.60793,122.6272789,123.6104825,123.6241084,124.3085063,up,1,0.6822441,None,0,124.3133136,124.3237063,124.3237063,125.7576905,5,1.4279472,,,,,1,1,2025-11-08_22h57.57.186,solo project,,2025.1.1,60.01003368,2025-11-08 22h58.04.932069 +0530
29,0,29,up,1,0.6895383,None,0,5,5.0461658,29,0,29,0,125.7768578,,,,,125.7579496,125.7768578,126.7602153,126.7738049,127.4578264,up,1,0.6895383,None,0,127.4614697,127.473309,127.473309,132.5234965,5,5.0461658,,,,,1,1,2025-11-08_22h57.57.186,solo project,,2025.1.1,60.01003368,2025-11-08 22h58.04.932069 +0530
30,0,30,down,1,0.7660895,None,-6,3.981481481,1.7295548,30,0,30,0,132.5421985,,,,,132.5237138,132.5421985,133.5262459,133.5399557,134.3073759,down,1,0.7660895,None,-6,134.3119484,134.3231324,134.3231324,136.0568299,3.981481481,1.7295548,,,,,1,1,2025-11-08_22h57.57.186,solo project,,2025.1.1,60.01003368,2025-11-08 22h58.04.932069 +0530
31,0,31,up,1,0.6598129,None,0,5,1.546983,31,0,31,0,136.0753144,,,,,136.0570678,136.0753144,137.0591614,137.0727255,137.7232251,up,1,0.6598129,None,0,137.7263094,137.7389726,137.7389726,139.2896252,5,1.546983,,,,,1,1,2025-11-08_22h57.57.186,solo project,,2025.1.1,60.01003368,2025-11-08 22h58.04.932069 +0530
32,0,32,up,0,0.8184012,None,-2,5,1.1461258,32,0,32,0,139.3083941,,,,,139.2898353,139.3083941,140.2919363,140.3053204,141.1233357,up,0,0.8184012,None,-2,141.1272998,141.1388936,141.1388936,142.2893673,5,1.1461258,,,,,1,1,2025-11-08_22h57.57.186,solo project,,2025.1.1,60.01003368,2025-11-08 22h58.04.932069 +0530
33,0,33,up,1,0.7318833,None,0,5,2.4112924,33,0,33,0,142.3078834,,,,,142.2895905,142.3078834,143.2918724,143.3053871,144.0397463,up,1,0.7318833,None,0,144.0448896,144.0550031,144.0550031,146.4722535,5,2.4112924,,,,,1,1,2025-11-08_22h57.57.186,solo project,,2025.1.1,60.01003368,2025-11-08 22h58.04.932069 +0530
34,0,34,down,0,1.1458666,None,0,1.918518519,2.8283954,34,0,34,0,146.4908008,,,,,146.4725292,146.4908008,147.4745971,147.488038,148.6222221,down,0,1.1458666,None,0,148.6274293,148.6389601,148.6389601,151.4718882,1.918518519,2.8283954,,,,,1,1,2025-11-08_22h57.57.186,solo project,,2025.1.1,60.01003368,2025-11-08 22h58.04.932069 +0530
35,0,35,down,1,0.7907061,None,-6,5,3.8467198,35,0,35,0,151.4907927,,,,,151.4721522,151.4907927,152.4742723,152.4878029,153.2714169,down,1,0.7907061,None,-6,153.2747829,153.2871404,153.2871404,157.1377628,5,3.8467198,,,,,1,1,2025-11-08_22h57.57.186,solo project,,2025.1.1,60.01003368,2025-11-08 22h58.04.932069 +0530
36,0,36,up,1,0.7343163,None,0,5,1.1482612,36,0,36,0,157.1566208,,,,,157.1379678,157.1566208,158.1401015,158.1536123,158.8873227,up,1,0.7343163,None,0,158.8899672,158.9033922,158.9033922,160.0541331,5,1.1482612,,,,,1,1,2025-11-08_22h57.57.186,solo project,,2025.1.1,60.01003368,2025-11-08 22h58.04.932069 +0530
37,0,37,down,1,0.62073,None,4,3.992592593,1.9144318,37,0,37,0,160.0730909,,,,,160.0543638,160.0730909,161.0564602,161.0700969,161.687254,down,1,0.62073,None,4,161.6902609,161.7031762,161.7031762,163.6202776,3.992592593,1.9144318,,,,,1,1,2025-11-08_22h57.57.186,solo project,,2025.1.1,60.01003368,2025-11-08 22h58.04.932069 +0530
