reward_today,future_reward,delay,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,fixation.stopped,text.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
78,80,162,0,0,0,t,3.018126499999994,None,0,0,0,6,0.06573489999999538,,0.06251859999997578,0.06573489999999538,1.0021380999999678,1.0021380999999678,1.0021380999999678,4.054463599999963,t,3.018126499999994,None,02,001,2025-10-27_13h01.07.899,delayed_discount_experiment,,2025.1.1,60.01824554665471,2025-10-27 13h01.14.784210 +0530,
27,50,21,1,1,0,l,0.8354064999999764,None,0,1,1,2,4.073541799999987,,4.069853200000011,4.073541799999987,5.068969399999958,5.068969399999958,5.068969399999958,5.920397399999956,l,0.8354064999999764,None,02,001,2025-10-27_13h01.07.899,delayed_discount_experiment,,2025.1.1,60.01824554665471,2025-10-27 13h01.14.784210 +0530,
15,35,13,2,2,0,l,0.6191498999999681,None,0,2,2,1,5.949132099999986,,5.944306499999982,5.949132099999986,6.935119799999995,6.935119799999995,6.935119799999995,7.569417199999975,l,0.6191498999999681,None,02,001,2025-10-27_13h01.07.899,delayed_discount_experiment,,2025.1.1,60.01824554665471,2025-10-27 13h01.14.784210 +0530,
11,30,7,3,3,0,l,0.5656400000000303,None,0,3,3,0,7.588077999999996,,7.582658999999978,7.588077999999996,8.58465659999996,8.58465659999996,8.58465659999996,9.152780899999982,l,0.5656400000000303,None,02,001,2025-10-27_13h01.07.899,delayed_discount_experiment,,2025.1.1,60.01824554665471,2025-10-27 13h01.14.784210 +0530,
49,60,89,4,4,0,t,0.5679135000000315,None,0,4,4,4,9.181314299999997,,9.17575519999997,9.181314299999997,10.168551999999977,10.168551999999977,10.168551999999977,10.753207400000008,t,0.5679135000000315,None,02,001,2025-10-27_13h01.07.899,delayed_discount_experiment,,2025.1.1,60.01824554665471,2025-10-27 13h01.14.784210 +0530,
67,75,119,5,5,0,t,0.5297706999999718,None,0,5,5,5,10.777455199999963,,10.771430899999984,10.777455199999963,11.768210199999999,11.768210199999999,11.768210199999999,12.303706299999988,t,0.5297706999999718,None,02,001,2025-10-27_13h01.07.899,delayed_discount_experiment,,2025.1.1,60.01824554665471,2025-10-27 13h01.14.784210 +0530,
40,55,62,6,6,0,t,0.547164500000008,None,0,6,6,3,12.32808399999999,,12.323003299999982,12.32808399999999,13.317476199999987,13.317476199999987,13.317476199999987,13.86839950000001,t,0.547164500000008,None,02,001,2025-10-27_13h01.07.899,delayed_discount_experiment,,2025.1.1,60.01824554665471,2025-10-27 13h01.14.784210 +0530,
27,50,21,7,0,1,l,0.5894317000000342,None,1,0,7,2,13.884245399999998,,13.879608799999971,13.884245399999998,14.884306999999978,14.884306999999978,14.884306999999978,15.485944299999971,l,0.5894317000000342,None,02,001,2025-10-27_13h01.07.899,delayed_discount_experiment,,2025.1.1,60.01824554665471,2025-10-27 13h01.14.784210 +0530,
40,55,62,8,1,1,t,0.4599689000000353,None,1,1,8,3,15.510703299999989,,15.504771699999992,15.510703299999989,16.50121250000001,16.50121250000001,16.50121250000001,16.96901299999996,t,0.4599689000000353,None,02,001,2025-10-27_13h01.07.899,delayed_discount_experiment,,2025.1.1,60.01824554665471,2025-10-27 13h01.14.784210 +0530,
11,30,7,9,2,1,l,0.5342340999999919,None,1,2,9,0,16.993798099999992,,16.987931500000002,16.993798099999992,17.98443169999996,17.98443169999996,17.98443169999996,18.535784699999965,l,0.5342340999999919,None,02,001,2025-10-27_13h01.07.899,delayed_discount_experiment,,2025.1.1,60.01824554665471,2025-10-27 13h01.14.784210 +0530,
67,75,119,10,3,1,t,0.6373628000000053,None,1,3,10,5,18.55767529999997,,18.5534538,18.55767529999997,19.550862499999994,19.550862499999994,19.550862499999994,20.201074500000004,t,0.6373628000000053,None,02,001,2025-10-27_13h01.07.899,delayed_discount_experiment,,2025.1.1,60.01824554665471,2025-10-27 13h01.14.784210 +0530,
78,80,162,11,4,1,t,0.451561100000049,None,1,4,11,6,20.21685279999997,,20.20724739999997,20.21685279999997,21.200747999999976,21.200747999999976,21.200747999999976,21.668895799999973,t,0.451561100000049,None,02,001,2025-10-27_13h01.07.899,delayed_discount_experiment,,2025.1.1,60.01824554665471,2025-10-27 13h01.14.784210 +0530,
15,35,13,12,5,1,l,0.6637455000000045,None,1,5,12,1,21.69274409999997,,21.687731799999995,21.69274409999997,22.683980700000006,22.683980700000006,22.683980700000006,23.35128679999997,l,0.6637455000000045,None,02,001,2025-10-27_13h01.07.899,delayed_discount_experiment,,2025.1.1,60.01824554665471,2025-10-27 13h01.14.784210 +0530,
49,60,89,13,6,1,t,0.6995291000000066,None,1,6,13,4,23.377568499999995,,23.37166049999996,23.377568499999995,24.350572099999965,24.350572099999965,24.350572099999965,25.052181200000007,t,0.6995291000000066,None,02,001,2025-10-27_13h01.07.899,delayed_discount_experiment,,2025.1.1,60.01824554665471,2025-10-27 13h01.14.784210 +0530,
