reward_today,future_reward,delay,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,fixation.stopped,text.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
78,80,162,0,0,0,t,2.208145800000011,None,0,0,0,6,0.061917200000038974,,0.05777690000002167,0.061917200000038974,1.008969699999966,1.008969699999966,1.008969699999966,3.242441299999996,t,2.208145800000011,None,04,001,2025-10-27_13h08.48.162,delayed_discount_experiment,,2025.1.1,59.910733007812155,2025-10-27 13h08.55.113623 +0530,
27,50,21,1,1,0,l,0.6823235000000523,None,0,1,1,2,3.2690017999999554,,3.263702299999977,3.2690017999999554,4.242567000000008,4.242567000000008,4.242567000000008,4.926082999999949,l,0.6823235000000523,None,04,001,2025-10-27_13h08.48.162,delayed_discount_experiment,,2025.1.1,59.910733007812155,2025-10-27 13h08.55.113623 +0530,
15,35,13,2,2,0,l,0.582994699999972,None,0,2,2,1,4.944672800000035,,4.940477099999953,4.944672800000035,5.92584880000004,5.92584880000004,5.92584880000004,6.5109202999999525,l,0.582994699999972,None,04,001,2025-10-27_13h08.48.162,delayed_discount_experiment,,2025.1.1,59.910733007812155,2025-10-27 13h08.55.113623 +0530,
67,75,119,3,3,0,t,0.4412197000000333,None,0,3,3,5,6.54184609999993,,6.535943299999985,6.54184609999993,7.525785499999984,7.525785499999984,7.525785499999984,7.975787800000035,t,0.4412197000000333,None,04,001,2025-10-27_13h08.48.162,delayed_discount_experiment,,2025.1.1,59.910733007812155,2025-10-27 13h08.55.113623 +0530,
49,60,89,4,4,0,t,0.533414300000004,None,0,4,4,4,7.9915254000000004,,7.987008199999991,7.9915254000000004,8.97521759999995,8.97521759999995,8.97521759999995,9.52611319999994,t,0.533414300000004,None,04,001,2025-10-27_13h08.48.162,delayed_discount_experiment,,2025.1.1,59.910733007812155,2025-10-27 13h08.55.113623 +0530,
40,55,62,5,5,0,t,0.5499363999999787,None,0,5,5,3,9.541519499999936,,9.53678119999995,9.541519499999936,10.542065799999932,10.542065799999932,10.542065799999932,11.107990900000004,t,0.5499363999999787,None,04,001,2025-10-27_13h08.48.162,delayed_discount_experiment,,2025.1.1,59.910733007812155,2025-10-27 13h08.55.113623 +0530,
11,30,7,6,6,0,l,0.45136649999994916,None,0,6,6,0,11.124389599999972,,11.112825499999985,11.124389599999972,12.107882300000028,12.107882300000028,12.107882300000028,12.574941999999965,l,0.45136649999994916,None,04,001,2025-10-27_13h08.48.162,delayed_discount_experiment,,2025.1.1,59.910733007812155,2025-10-27 13h08.55.113623 +0530,
67,75,119,7,0,1,t,0.5121286999999484,None,1,0,7,5,12.591212100000007,,12.580092199999967,12.591212100000007,13.575210599999991,13.575210599999991,13.575210599999991,14.091694099999927,t,0.5121286999999484,None,04,001,2025-10-27_13h08.48.162,delayed_discount_experiment,,2025.1.1,59.910733007812155,2025-10-27 13h08.55.113623 +0530,
40,55,62,8,1,1,t,0.3783141000000114,None,1,1,8,3,14.10763380000003,,14.102881300000035,14.10763380000003,15.107763500000033,15.107763500000033,15.107763500000033,15.490172400000006,t,0.3783141000000114,None,04,001,2025-10-27_13h08.48.162,delayed_discount_experiment,,2025.1.1,59.910733007812155,2025-10-27 13h08.55.113623 +0530,
78,80,162,9,2,1,t,0.5547649999999749,None,1,2,9,6,15.506306600000016,,15.494921299999987,15.506306600000016,16.490532599999938,16.490532599999938,16.490532599999938,17.058555999999953,t,0.5547649999999749,None,04,001,2025-10-27_13h08.48.162,delayed_discount_experiment,,2025.1.1,59.910733007812155,2025-10-27 13h08.55.113623 +0530,
