thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,tilt,slider.response,slider.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instructions.started,text.started,Instructions.stopped,trial.started,Fixation.started,key_resp.started,Fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials.tilt,rating.started,slider.started,text_2.started,rating.stopped,trials.slider.response,trials.slider.rt,Thankyou.started,text_3.started,text_3.stopped,Thankyou.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
9,0,9,down,1,0.6197488000034355,None,-5,5,1.5466655000054743,9,0,9,0,49.85215780000726,,,,,49.833415400004014,49.85215780000726,50.83551960000477,50.849050700009684,51.46629260000191,down,1,0.6197488000034355,None,-5,51.46964660000231,51.48221339999873,51.48221339999873,53.03273340000305,5,1.5466655000054743,,,,,02,001,2025-11-10_11h02.20.670,solo project,,2025.1.1,60.07268795167799,2025-11-10 11h02.31.435204 +0530,
10,0,10,up,1,0.8198640999908093,None,0,5,1.8965310000057798,10,0,10,0,53.05164679999871,,,,,53.032954499998596,53.05164679999871,54.03555040000356,54.048843299999135,54.86629649999668,up,1,0.8198640999908093,None,0,54.8696506999986,54.881809300000896,54.881809300000896,56.782475500003784,5,1.8965310000057798,,,,,02,001,2025-11-10_11h02.20.670,solo project,,2025.1.1,60.07268795167799,2025-11-10 11h02.31.435204 +0530,
11,0,11,down,1,0.8115416999935405,None,2,5,1.4456586000014795,11,0,11,0,56.80148540000664,,,,,56.782730500010075,56.80148540000664,57.78484350000508,57.79864059999818,58.599030199999106,down,1,0.8115416999935405,None,2,58.60315750000882,58.61504309999873,58.61504309999873,60.06525739999779,5,1.4456586000014795,,,,,02,001,2025-11-10_11h02.20.670,solo project,,2025.1.1,60.07268795167799,2025-11-10 11h02.31.435204 +0530,
12,0,12,down,0,0.9882297000003746,None,0,5,1.2627123999991454,12,0,12,0,60.08506670000497,,,,,60.065419300008216,60.08506670000497,61.067887600001995,61.08151000000362,62.06579970000894,down,0,0.9882297000003746,None,0,62.06973640000797,62.08131229999708,62.08131229999708,63.34867010000744,5,1.2627123999991454,,,,,02,001,2025-11-10_11h02.20.670,solo project,,2025.1.1,60.07268795167799,2025-11-10 11h02.31.435204 +0530,
13,0,13,up,1,0.8090555000089807,None,0,4.025925925925926,3.4959086000017123,13,0,13,0,63.367208600000595,,,,,63.34890270000324,63.367208600000595,64.35096429999976,64.36466530000325,65.16508350000367,up,1,0.8090555000089807,None,0,65.16903830000956,65.18084149999777,65.18084149999777,68.68113490000542,4.025925925925926,3.4959086000017123,,,,,02,001,2025-11-10_11h02.20.670,solo project,,2025.1.1,60.07268795167799,2025-11-10 11h02.31.435204 +0530,
14,0,14,down,1,0.9601168000081088,None,-9,5,1.2958350999979302,14,0,14,0,68.70004229999904,,,,,68.68133880000096,68.70004229999904,69.6837058000092,69.69732550000481,70.64857390000543,down,1,0.9601168000081088,None,-9,70.65212820000306,70.66370520000055,70.66370520000055,71.96447000000626,5,1.2958350999979302,,,,,02,001,2025-11-10_11h02.20.670,solo project,,2025.1.1,60.07268795167799,2025-11-10 11h02.31.435204 +0530,
15,0,15,down,1,0.7555798999965191,None,7,5,1.246815400008927,15,0,15,0,71.98348219999752,,,,,71.96470769999723,71.98348219999752,72.9668357000046,72.98043619999953,73.73082270000305,down,1,0.7555798999965191,None,7,73.73425789999601,73.74657119999756,73.74657119999756,74.99739910000062,5,1.246815400008927,,,,,02,001,2025-11-10_11h02.20.670,solo project,,2025.1.1,60.07268795167799,2025-11-10 11h02.31.435204 +0530,
16,0,16,down,0,1.1231011999916518,None,0,4.018518518518519,2.4625954999937676,16,0,16,0,75.01620969999931,,,,,74.99770540000463,75.01620969999931,76.00014600000577,76.01369960000739,77.13077940000221,down,0,1.1231011999916518,None,0,77.13466039999912,77.14648090000264,77.14648090000264,79.61356630000228,4.018518518518519,2.4625954999937676,,,,,02,001,2025-11-10_11h02.20.670,solo project,,2025.1.1,60.07268795167799,2025-11-10 11h02.31.435204 +0530,
17,0,17,up,1,0.4209763999970164,None,0,5,1.0471405999996932,17,0,17,0,79.63215879999916,,,,,79.6137965000089,79.63215879999916,80.6159181999974,80.62959769999725,81.04675839999982,up,1,0.4209763999970164,None,0,81.04979820000881,81.06276090000756,81.06276090000756,82.11332980000589,5,1.0471405999996932,,,,,02,001,2025-11-10_11h02.20.670,solo project,,2025.1.1,60.07268795167799,2025-11-10 11h02.31.435204 +0530,
18,0,18,down,1,0.6153682000003755,None,9,5,1.5975863999919966,18,0,18,0,82.13253780000377,,,,,82.11351389999618,82.13253780000377,83.11561989999609,83.12930960000085,83.7465177999984,down,1,0.6153682000003755,None,9,83.74948650000442,83.76233209999918,83.76233209999918,85.36296179999772,5,1.5975863999919966,,,,,02,001,2025-11-10_11h02.20.670,solo project,,2025.1.1,60.07268795167799,2025-11-10 11h02.31.435204 +0530,
19,0,19,up,1,0.5491913000005297,None,0,3.0185185185185186,2.4968300000036834,19,0,19,0,85.38176830000884,,,,,85.36316340000485,85.38176830000884,86.36534650000976,86.37901330000022,86.9295523000037,up,1,0.5491913000005297,None,0,86.93262900000263,86.9454187000083,86.9454187000083,89.44576650000818,3.0185185185185186,2.4968300000036834,,,,,02,001,2025-11-10_11h02.20.670,solo project,,2025.1.1,60.07268795167799,2025-11-10 11h02.31.435204 +0530,
20,0,20,up,0,0.603248799990979,None,1,4.018518518518519,1.6965301000018371,20,0,20,0,89.46474480000325,,,,,89.44600170000922,89.46474480000325,90.44836180000857,90.46191150000959,91.06254759999865,up,0,0.603248799990979,None,1,91.06609300000127,91.07835680000426,91.07835680000426,92.77870550000807,4.018518518518519,1.6965301000018371,,,,,02,001,2025-11-10_11h02.20.670,solo project,,2025.1.1,60.07268795167799,2025-11-10 11h02.31.435204 +0530,
21,0,21,up,0,0.9220008999982383,None,0,4.037037037037037,2.4787203000014415,21,0,21,0,92.79774280000129,,,,,92.77890150000167,92.79774280000129,93.7813438000012,93.79496220000146,94.7127024000074,up,0,0.9220008999982383,None,0,94.71656440000515,94.72806100000162,94.72806100000162,97.21161199999915,4.037037037037037,2.4787203000014415,,,,,02,001,2025-11-10_11h02.20.670,solo project,,2025.1.1,60.07268795167799,2025-11-10 11h02.31.435204 +0530,
22,0,22,down,0,0.6393339999922318,None,0,1.0,3.56277350000164,22,0,22,0,97.23065250000218,,,,,97.21180950000416,97.23065250000218,98.21427150000818,98.22776010000962,98.86165299999993,down,0,0.6393339999922318,None,0,98.86510710000584,98.87766120000742,98.87766120000742,102.44455949999974,1.0,3.56277350000164,,,,,02,001,2025-11-10_11h02.20.670,solo project,,2025.1.1,60.07268795167799,2025-11-10 11h02.31.435204 +0530,
23,0,23,down,1,0.7248067000036826,None,-8,5,1.3472200999967754,23,0,23,0,102.46332009999605,,,,,102.4447358000034,102.46332009999605,103.44694310000341,103.46058400000038,104.17757260000508,down,1,0.7248067000036826,None,-8,104.18096420000074,104.19366250000894,104.19366250000894,105.54417900000408,5,1.3472200999967754,,,,,02,001,2025-11-10_11h02.20.670,solo project,,2025.1.1,60.07268795167799,2025-11-10 11h02.31.435204 +0530,
24,0,24,down,0,0.8044003999966662,None,0,4.007407407407407,2.545541700004833,24,0,24,0,105.56320380000398,,,,,105.54438550000486,105.56320380000398,106.54665270000987,106.56026929999643,107.36111199999868,down,0,0.8044003999966662,None,0,107.36512930000026,107.37672070000554,107.37672070000554,109.92747660000168,4.007407407407407,2.545541700004833,,,,,02,001,2025-11-10_11h02.20.670,solo project,,2025.1.1,60.07268795167799,2025-11-10 11h02.31.435204 +0530,
25,0,25,down,1,0.6425754999945639,None,-8,4.0,2.412687399992137,25,0,25,0,109.94643350000842,,,,,109.92766509999637,109.94643350000842,110.92978310000035,110.94337429999723,111.57719189999625,down,1,0.6425754999945639,None,-8,111.58113330000197,111.5931253000017,111.5931253000017,114.00995590000821,4.0,2.412687399992137,,,,,02,001,2025-11-10_11h02.20.670,solo project,,2025.1.1,60.07268795167799,2025-11-10 11h02.31.435204 +0530,
26,0,26,up,0,0.6276546000008238,None,0,5,1.031320499998401,26,0,26,0,114.02904740000668,,,,,114.01018730000942,114.02904740000668,115.01292029999604,115.02645340000163,115.64386910000758,up,0,0.6276546000008238,None,0,115.64763700000185,115.65944590000436,115.65944590000436,116.69312850000279,5,1.031320499998401,,,,,02,001,2025-11-10_11h02.20.670,solo project,,2025.1.1,60.07268795167799,2025-11-10 11h02.31.435204 +0530,
27,0,27,down,1,0.5735181000054581,None,6,5,1.1632588999927975,27,0,27,0,116.71180910000112,,,,,116.69330450000416,116.71180910000112,117.69553300000553,117.70904960000189,118.2766871000058,down,1,0.5735181000054581,None,6,118.27990249999857,118.2923368000047,118.2923368000047,119.45922489999793,5,1.1632588999927975,,,,,02,001,2025-11-10_11h02.20.670,solo project,,2025.1.1,60.07268795167799,2025-11-10 11h02.31.435204 +0530,
28,0,28,down,1,0.6342504000058398,None,-7,5,0.9966240000067046,28,0,28,0,119.47861879999982,,,,,119.45944820001023,119.47861879999982,120.46196300000884,120.47558850000496,121.10957519999647,down,1,0.6342504000058398,None,-7,121.11305569999968,121.1253599000047,121.1253599000047,122.12571980000939,5,0.9966240000067046,,,,,02,001,2025-11-10_11h02.20.670,solo project,,2025.1.1,60.07268795167799,2025-11-10 11h02.31.435204 +0530,
29,0,29,up,1,0.6114687999943271,None,0,4.959259259259259,1.3635645999893313,29,0,29,0,122.14490959999966,,,,,122.12591670000984,122.14490959999966,123.1282482999959,123.1420863000094,123.74230179999722,up,1,0.6114687999943271,None,0,123.745814599999,123.75847539999813,123.75847539999813,125.1256604000082,4.959259259259259,1.3635645999893313,,,,,02,001,2025-11-10_11h02.20.670,solo project,,2025.1.1,60.07268795167799,2025-11-10 11h02.31.435204 +0530,
30,0,30,up,1,0.8282235999940895,None,0,5,0.8788686000043526,30,0,30,0,125.145171199998,,,,,125.12582139999722,125.145171199998,126.12815020000562,126.14172290000715,126.95982660001027,up,1,0.8282235999940895,None,0,126.96351200000208,126.97468320000917,126.97468320000917,127.85908200000995,5,0.8788686000043526,,,,,02,001,2025-11-10_11h02.20.670,solo project,,2025.1.1,60.07268795167799,2025-11-10 11h02.31.435204 +0530,
31,0,31,up,0,0.7849178000033135,None,2,5,1.047057500007213,31,0,31,0,127.8783270999993,,,,,127.85931790000177,127.8783270999993,128.8611122000002,128.87472510000225,129.65888430000632,up,0,0.7849178000033135,None,2,129.66213749999588,129.67440230000648,129.67440230000648,130.7249695000064,5,1.047057500007213,,,,,02,001,2025-11-10_11h02.20.670,solo project,,2025.1.1,60.07268795167799,2025-11-10 11h02.31.435204 +0530,
32,0,32,up,1,0.6920856000069762,None,0,5,1.447400999997626,32,0,32,0,130.74426680000033,,,,,130.72512790000474,130.74426680000033,131.7274868000095,131.74096870000358,132.42483220000577,up,1,0.6920856000069762,None,0,132.4278842000058,132.44086470000912,132.44086470000912,133.89146369999798,5,1.447400999997626,,,,,02,001,2025-11-10_11h02.20.670,solo project,,2025.1.1,60.07268795167799,2025-11-10 11h02.31.435204 +0530,
33,0,33,up,0,0.7612091999908444,None,1,5,1.3481115000031423,33,0,33,0,133.91055709999637,,,,,133.8916814999975,133.91055709999637,134.89389590000792,134.9074832000042,135.65752670000074,up,0,0.7612091999908444,None,1,135.66084660000342,135.67387150001014,135.67387150001014,137.0244720000046,5,1.3481115000031423,,,,,02,001,2025-11-10_11h02.20.670,solo project,,2025.1.1,60.07268795167799,2025-11-10 11h02.31.435204 +0530,
34,0,34,down,1,0.6985159000032581,None,4,5,1.147117000000435,34,0,34,0,137.04317800000717,,,,,137.02464980000514,137.04317800000717,138.0268136000086,138.04061569999612,138.74106120000943,down,1,0.6985159000032581,None,4,138.7444380000088,138.75696790000075,138.75696790000075,139.90735340000538,5,1.147117000000435,,,,,02,001,2025-11-10_11h02.20.670,solo project,,2025.1.1,60.07268795167799,2025-11-10 11h02.31.435204 +0530,
35,0,35,down,1,0.7987498000002233,None,3,3.033333333333333,2.4301068000058876,35,0,35,0,139.92657090000284,,,,,139.9075215000048,139.92657090000284,140.91006290000223,140.92363750000368,141.7243598000059,down,1,0.7987498000002233,None,3,141.7277943000081,141.7401041999983,141.7401041999983,144.17376279999735,3.033333333333333,2.4301068000058876,,,,,02,001,2025-11-10_11h02.20.670,solo project,,2025.1.1,60.07268795167799,2025-11-10 11h02.31.435204 +0530,
