imagefile,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,tilt,slider.response,slider.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instructions.started,text.started,key_resp_2.started,Instructions.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trial.started,Fixation.started,image.started,Fixation.stopped,image.stopped,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials.tilt,rating.started,slider.started,text_2.started,rating.stopped,trials.slider.response,trials.slider.rt,Thankyou.started,text_3.started,text_3.stopped,Thankyou.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,0.003132499987259507,0.008752499939873815,1.0092027999926358,3.042704200022854,space,2.000774599961005,None,,,,,,,,,,,,,,,,,,,,,,,emo03,001,2025-11-17_16h26.59.466,solo project_version2,,2025.1.1,61.05773988471626,2025-11-17 16h27.09.399245 +0530,
D:\sadimage5.jpeg,0,0,0,down,1,1.3389445999637246,None,-8,2.988888888888889,1.5446782999206334,0,0,0,11,3.1614845999283716,,,,,,,,,3.151031699962914,3.1614845999283716,4.0524216999765486,4.159000199986622,4.558143700007349,4.6584887999342754,6.009345999918878,down,1,1.3389445999637246,None,-8,6.014234900008887,6.035251299967058,6.035251299967058,7.575371199985966,2.988888888888889,1.5446782999206334,,,,,emo03,001,2025-11-17_16h26.59.466,solo project_version2,,2025.1.1,61.05773988471626,2025-11-17 16h27.09.399245 +0530,
D:\sadimage4.jpg,1,1,0,down,1,0.9632419999688864,None,-3,4.014814814814815,2.096274900017306,0,1,1,10,7.8510856999782845,,,,,,,,,7.834078099927865,7.8510856999782845,8.579526799963787,8.85957819991745,9.090696499915794,9.190963199944235,10.15858449996449,down,1,0.9632419999688864,None,-3,10.162116999970749,10.174342599930242,10.174342599930242,12.27479079994373,4.014814814814815,2.096274900017306,,,,,emo03,001,2025-11-17_16h26.59.466,solo project_version2,,2025.1.1,61.05773988471626,2025-11-17 16h27.09.399245 +0530,
D:\happyimage3.jpeg,2,2,0,up,1,0.6496179000241682,None,0,5,1.0961604999611154,0,2,2,2,12.550369099946693,,,,,,,,,12.543605600018054,12.550369099946693,13.27772080001887,13.557610100018792,13.790321999927983,13.87401469994802,14.524877800024115,up,1,0.6496179000241682,None,0,14.528914899914525,14.54052259994205,14.54052259994205,15.641020799987018,5,1.0961604999611154,,,,,emo03,001,2025-11-17_16h26.59.466,solo project_version2,,2025.1.1,61.05773988471626,2025-11-17 16h27.09.399245 +0530,
D:\happyimage7.jpeg,3,3,0,down,1,0.8662203999701887,None,-4,5,1.0277595999650657,0,3,3,6,15.679460000013933,,,,,,,,,15.672590099973604,15.679460000013933,16.643651299993508,16.6907865999965,17.156815800000913,17.240255099954084,18.108560999971814,down,1,0.8662203999701887,None,-4,18.113252599956468,18.123435299959965,18.123435299959965,19.157368700020015,5,1.0277595999650657,,,,,emo03,001,2025-11-17_16h26.59.466,solo project_version2,,2025.1.1,61.05773988471626,2025-11-17 16h27.09.399245 +0530,
D:\sadimage6.jpeg,4,4,0,up,1,0.69290549994912,None,0,4.022222222222222,1.3629020999651402,0,4,4,12,19.195635900017805,,,,,,,,,19.188581499969587,19.195635900017805,20.16022029996384,20.20724449993577,20.673346999916248,20.77346729999408,21.474435599986464,up,1,0.69290549994912,None,0,21.478625199990347,21.489789300016128,21.489789300016128,22.857252300018445,4.022222222222222,1.3629020999651402,,,,,emo03,001,2025-11-17_16h26.59.466,solo project_version2,,2025.1.1,61.05773988471626,2025-11-17 16h27.09.399245 +0530,
D:\happyimage4.jpeg,5,5,0,down,1,0.8167177999857813,None,4,3.966666666666667,1.8660533999791369,0,5,5,3,22.886014299932867,,,,,,,,,22.879084200016223,22.886014299932867,23.859446999966167,23.88963899994269,24.372339599998668,24.472619500011206,25.30598960001953,down,1,0.8167177999857813,None,4,25.307990500004962,25.32245829992462,25.32245829992462,27.18990809994284,3.966666666666667,1.8660533999791369,,,,,emo03,001,2025-11-17_16h26.59.466,solo project_version2,,2025.1.1,61.05773988471626,2025-11-17 16h27.09.399245 +0530,
D:\happyimage2.jpeg,6,6,0,up,0,0.638518700026907,None,2,5,2.0989167999941856,0,6,6,1,27.228991799987853,,,,,,,,,27.22165630001109,27.228991799987853,28.192453099996783,28.239049099967815,28.705156499985605,28.80567169992719,29.456320600002073,up,0,0.638518700026907,None,2,29.45815760002006,29.471807900001295,29.471807900001295,31.572972399997525,5,2.0989167999941856,,,,,emo03,001,2025-11-17_16h26.59.466,solo project_version2,,2025.1.1,61.05773988471626,2025-11-17 16h27.09.399245 +0530,
D:\sadimage7.jpeg,7,7,0,down,1,0.6978000999661162,None,-6,4.018518518518519,1.980331699945964,0,7,7,13,31.614427899941802,,,,,,,,,31.607816500007175,31.614427899941802,32.57554390002042,32.62248399993405,33.08840309991501,33.18874459993094,33.889311900013126,down,1,0.6978000999661162,None,-6,33.89230039995164,33.90536340000108,33.90536340000108,35.88904429995455,4.018518518518519,1.980331699945964,,,,,emo03,001,2025-11-17_16h26.59.466,solo project_version2,,2025.1.1,61.05773988471626,2025-11-17 16h27.09.399245 +0530,
D:\sadimage1.jpeg,8,8,0,down,0,0.9013285998953506,None,0,4.0,1.5808064999291673,0,8,8,7,35.92689999996219,,,,,,,,,35.92026269994676,35.92689999996219,36.89191839995328,36.938867099932395,37.404967900016345,37.5049959999742,38.42251900001429,down,0,0.9013285998953506,None,0,38.42590119992383,38.43821539997589,38.43821539997589,40.02203579992056,4.0,1.5808064999291673,,,,,emo03,001,2025-11-17_16h26.59.466,solo project_version2,,2025.1.1,61.05773988471626,2025-11-17 16h27.09.399245 +0530,
D:\happyimage5.jpeg,9,9,0,down,0,0.7168870000168681,None,0,5,1.863236500066705,0,9,9,4,40.06160449993331,,,,,,,,,40.05454809998628,40.06160449993331,41.02456369996071,41.07166489993688,41.53775329992641,41.62121439992916,42.35515590000432,down,0,0.7168870000168681,None,0,42.3586652999511,42.37108890002128,42.37108890002128,44.2383303999668,5,1.863236500066705,,,,,emo03,001,2025-11-17_16h26.59.466,solo project_version2,,2025.1.1,61.05773988471626,2025-11-17 16h27.09.399245 +0530,
D:\happyimage1.jpeg,10,10,0,up,0,0.49232030007988214,None,2,5,1.0808832000475377,0,10,10,0,44.276112899999134,,,,,,,,,44.26931919995695,44.276112899999134,45.24102169997059,45.28792719997,45.754047099966556,45.85429859999567,46.35472109995317,up,0,0.49232030007988214,None,2,46.35794209991582,46.37090969993733,46.37090969993733,47.454606499988586,5,1.0808832000475377,,,,,emo03,001,2025-11-17_16h26.59.466,solo project_version2,,2025.1.1,61.05773988471626,2025-11-17 16h27.09.399245 +0530,
D:\sadimage2.jpeg,11,11,0,up,0,0.6872514000860974,None,0,4.003703703703704,3.261471200035885,0,11,11,8,47.49439709994476,,,,,,,,,47.48746039997786,47.49439709994476,48.45736629993189,48.50442569993902,48.97021820000373,49.05428929999471,49.75503639993258,up,0,0.6872514000860974,None,0,49.75933049991727,49.77051249996293,49.77051249996293,53.03753939992748,4.003703703703704,3.261471200035885,,,,,emo03,001,2025-11-17_16h26.59.466,solo project_version2,,2025.1.1,61.05773988471626,2025-11-17 16h27.09.399245 +0530,
D:\sadimage3.jpeg,12,12,0,down,1,0.8760138999205083,None,3,3.0148148148148146,3.062931599910371,0,12,12,9,53.075898699928075,,,,,,,,,53.068920099991374,53.075898699928075,54.04017119994387,54.08710349991452,54.55334240000229,54.653365599922836,55.53769349993672,down,1,0.8760138999205083,None,3,55.541116099921055,55.55329219996929,55.55329219996929,58.6202427999815,3.0148148148148146,3.062931599910371,,,,,emo03,001,2025-11-17_16h26.59.466,solo project_version2,,2025.1.1,61.05773988471626,2025-11-17 16h27.09.399245 +0530,
D:\happyimage6.jpeg,13,13,0,up,1,0.697223600000143,None,0,5.0,5.911677600000985,0,13,13,5,58.65898089995608,,,,,,,,,58.65188839996699,58.65898089995608,59.62275839992799,59.669828000012785,60.13588700001128,60.23601280001458,60.93705880001653,up,1,0.697223600000143,None,0,60.94115229998715,60.95270089991391,60.95270089991391,66.86985929997172,5.0,5.911677600000985,,,,,emo03,001,2025-11-17_16h26.59.466,solo project_version2,,2025.1.1,61.05773988471626,2025-11-17 16h27.09.399245 +0530,
D:\sadimage7.jpeg,14,0,1,down,1,1.41559370001778,None,-4,3.9925925925925925,86.55473309999797,1,0,14,13,66.88885769993067,,,,,,,,,66.87493569997605,66.88885769993067,67.87207239994314,67.88588740001433,68.38480899995193,68.4852750999853,69.90260169992689,down,1,1.41559370001778,None,-4,69.90618129994255,69.9185747000156,69.9185747000156,156.47734829992987,3.9925925925925925,86.55473309999797,,,,,emo03,001,2025-11-17_16h26.59.466,solo project_version2,,2025.1.1,61.05773988471626,2025-11-17 16h27.09.399245 +0530,
D:\happyimage6.jpeg,15,1,1,up,0,0.36909679998643696,None,-5,5,1.3458341000368819,1,1,15,5,156.49626649997663,,,,,,,,,156.48021840001456,156.49626649997663,157.47983580001164,157.49337639997248,157.99279879999813,158.09301149996463,158.47756119992118,up,0,0.36909679998643696,None,-5,158.48109399992973,158.4930932999123,158.4930932999123,159.84356910001952,5,1.3458341000368819,,,,,emo03,001,2025-11-17_16h26.59.466,solo project_version2,,2025.1.1,61.05773988471626,2025-11-17 16h27.09.399245 +0530,
D:\happyimage3.jpeg,16,2,1,up,1,0.46261640009470284,None,0,5,0.9976320000132546,1,2,16,2,159.86276059993543,,,,,,,,,159.8491628000047,159.86276059993543,160.8460304000182,160.85981289995834,161.35919729992747,161.45936119998805,161.92693139996845,up,1,0.46261640009470284,None,0,161.93069880001713,161.9427870999789,161.9427870999789,162.9429849999724,5,0.9976320000132546,,,,,emo03,001,2025-11-17_16h26.59.466,solo project_version2,,2025.1.1,61.05773988471626,2025-11-17 16h27.09.399245 +0530,
D:\happyimage4.jpeg,17,3,1,up,1,0.8004471999593079,None,0,5,0.9959998000413179,1,3,17,3,162.96242009999696,,,,,,,,,162.95457119995262,162.96242009999696,163.9460117999697,163.9596732999198,164.45890560001135,164.54238749993965,165.36009670002386,up,1,0.8004471999593079,None,0,165.3636048999615,165.3756392999785,165.3756392999785,166.37617009994574,5,0.9959998000413179,,,,,emo03,001,2025-11-17_16h26.59.466,solo project_version2,,2025.1.1,61.05773988471626,2025-11-17 16h27.09.399245 +0530,
D:\happyimage7.jpeg,18,4,1,down,1,0.5661029999610037,None,9,5,1.8948679000604898,1,4,18,6,166.3958002999425,,,,,,,,,166.37875999999233,166.3958002999425,167.37897179997526,167.3923946999712,167.89215169998351,167.9754051999189,168.543217599974,down,1,0.5661029999610037,None,9,168.54783369996585,168.5584107999457,168.5584107999457,170.45898759993725,5,1.8948679000604898,,,,,emo03,001,2025-11-17_16h26.59.466,solo project_version2,,2025.1.1,61.05773988471626,2025-11-17 16h27.09.399245 +0530,
D:\happyimage1.jpeg,19,5,1,down,1,0.49293340009171516,None,6,5,0.9775864999974146,1,5,19,0,170.4784048999427,,,,,,,,,170.46129180002026,170.4784048999427,171.46170699992217,171.47544369997922,171.97479259991087,172.07517570001073,172.5768728000112,down,1,0.49293340009171516,None,6,172.58178190002218,172.59146849997342,172.59146849997342,173.5754661000101,5,0.9775864999974146,,,,,emo03,001,2025-11-17_16h26.59.466,solo project_version2,,2025.1.1,61.05773988471626,2025-11-17 16h27.09.399245 +0530,
D:\sadimage5.jpeg,20,6,1,up,0,0.5259702000766993,None,0,4.003703703703704,2.279252800042741,1,6,20,11,173.59436250000726,,,,,,,,,173.57793469994795,173.59436250000726,174.57813109993003,174.5917048000265,175.09139600000344,175.17459619999863,175.70908479997888,up,0,0.5259702000766993,None,0,175.71252159995493,175.72458719997667,175.72458719997667,178.00847439991776,4.003703703703704,2.279252800042741,,,,,emo03,001,2025-11-17_16h26.59.466,solo project_version2,,2025.1.1,61.05773988471626,2025-11-17 16h27.09.399245 +0530,
D:\sadimage6.jpeg,21,7,1,down,1,0.4999678999884054,None,-9,4.018518518518519,1.1465427000075579,1,7,21,12,178.0276176999323,,,,,,,,,178.0109510999173,178.0276176999323,179.01103089994285,179.02461279998533,179.5240107999416,179.624108399963,180.12520200002473,down,1,0.4999678999884054,None,-9,180.12834890000522,180.14081060001627,180.14081060001627,181.29150169994682,4.018518518518519,1.1465427000075579,,,,,emo03,001,2025-11-17_16h26.59.466,solo project_version2,,2025.1.1,61.05773988471626,2025-11-17 16h27.09.399245 +0530,
D:\sadimage3.jpeg,22,8,1,down,1,0.5876222999067977,None,7,4.003703703703704,0.9463852000189945,1,8,22,9,181.31079539994244,,,,,,,,,181.29393179994076,181.31079539994244,182.29382859996986,182.30788390000816,182.80711679998785,182.8904650999466,183.4913817999186,down,1,0.5876222999067977,None,7,183.4948432999663,183.50717439991422,183.50717439991422,184.45801950001623,4.003703703703704,0.9463852000189945,,,,,emo03,001,2025-11-17_16h26.59.466,solo project_version2,,2025.1.1,61.05773988471626,2025-11-17 16h27.09.399245 +0530,
D:\happyimage5.jpeg,23,9,1,down,1,0.7839685999788344,None,5,5,1.079351400025189,1,9,23,4,184.47680579998996,,,,,,,,,184.4600238999119,184.47680579998996,185.460470699938,185.47403769998346,185.97341289999895,186.07361299998593,186.87438279995695,down,1,0.7839685999788344,None,5,186.87808159994893,186.88998989993706,186.88998989993706,187.9739941000007,5,1.079351400025189,,,,,emo03,001,2025-11-17_16h26.59.466,solo project_version2,,2025.1.1,61.05773988471626,2025-11-17 16h27.09.399245 +0530,
D:\happyimage2.jpeg,24,10,1,down,1,0.9181330000283197,None,-5,4.977777777777778,1.9974289000965655,1,10,24,1,187.9931100999238,,,,,,,,,187.9762092999881,187.9931100999238,188.9769375999458,188.99019539996516,189.48946509999223,189.58992920001037,190.5239754000213,down,1,0.9181330000283197,None,-5,190.5271110999165,190.5399960000068,190.5399960000068,192.5400428000139,4.977777777777778,1.9974289000965655,,,,,emo03,001,2025-11-17_16h26.59.466,solo project_version2,,2025.1.1,61.05773988471626,2025-11-17 16h27.09.399245 +0530,
D:\sadimage1.jpeg,25,11,1,up,1,0.779979299986735,None,0,4.003703703703704,1.9992244999157265,1,11,25,7,192.55950650002342,,,,,,,,,192.54282470000908,192.55950650002342,193.54280980001204,193.55639669997618,194.055499900016,194.15584709995892,194.9394680999685,up,1,0.779979299986735,None,0,194.94108889997005,194.95545759995002,194.95545759995002,196.95642830000725,4.003703703703704,1.9992244999157265,,,,,emo03,001,2025-11-17_16h26.59.466,solo project_version2,,2025.1.1,61.05773988471626,2025-11-17 16h27.09.399245 +0530,
D:\sadimage4.jpg,26,12,1,up,1,1.1403187001124024,None,0,4.003703703703704,1.0482157999649644,1,12,26,10,197.26292429992463,,,,,,,,,197.24658489995636,197.26292429992463,197.96105169993825,198.27393029991072,198.47196609992534,198.57200419995934,199.72246979991905,up,1,1.1403187001124024,None,0,199.72507419995964,199.73835050000343,199.73835050000343,200.7893669999903,4.003703703703704,1.0482157999649644,,,,,emo03,001,2025-11-17_16h26.59.466,solo project_version2,,2025.1.1,61.05773988471626,2025-11-17 16h27.09.399245 +0530,
D:\sadimage2.jpeg,27,13,1,down,1,0.5113573999842629,None,-5,4.0,1.0961846999125555,1,13,27,8,200.8286171000218,,,,,,,,,200.80268889991567,200.8286171000218,201.79208399995696,201.83926659997087,202.30509359994903,202.3886715999106,202.90602090000175,down,1,0.5113573999842629,None,-5,202.9096252999734,202.92178530001547,202.92178530001547,204.02243739995174,4.0,1.0961846999125555,,,,,emo03,001,2025-11-17_16h26.59.466,solo project_version2,,2025.1.1,61.05773988471626,2025-11-17 16h27.09.399245 +0530,
D:\sadimage4.jpg,28,0,2,down,1,0.9208561999257654,None,7,4.0,1.0628731000469998,2,0,28,10,204.2408720999956,,,,,,,,,204.223802399938,204.2408720999956,205.02643889992032,205.24033339996822,205.53829209995456,205.63832759996876,206.572726399987,down,1,0.9208561999257654,None,7,206.5761011999566,206.58824139996432,206.58824139996432,207.6551301999716,4.0,1.0628731000469998,,,,,emo03,001,2025-11-17_16h26.59.466,solo project_version2,,2025.1.1,61.05773988471626,2025-11-17 16h27.09.399245 +0530,
D:\happyimage7.jpeg,29,1,2,down,1,0.5815274000633508,None,-6,5,1.1793508999980986,2,1,29,6,207.69316439994145,,,,,,,,,207.66214469994884,207.69316439994145,208.65829099994153,208.7049541999586,209.17097109998576,209.2546924999915,209.8389482999919,down,1,0.5815274000633508,None,-6,209.84246910002548,209.85458849999122,209.85458849999122,211.03817939991131,5,1.1793508999980986,,,,,emo03,001,2025-11-17_16h26.59.466,solo project_version2,,2025.1.1,61.05773988471626,2025-11-17 16h27.09.399245 +0530,
D:\happyimage6.jpeg,30,2,2,down,0,0.8144226999720559,None,0,5,1.5796593999257311,2,2,30,5,211.05794500000775,,,,,,,,,211.04054620000534,211.05794500000775,212.04139219992794,212.05500049993861,212.55432210001163,212.6378252999857,213.45519849995617,down,0,0.8144226999720559,None,0,213.45851269993,213.4707999000093,213.4707999000093,215.0544882999966,5,1.5796593999257311,,,,,emo03,001,2025-11-17_16h26.59.466,solo project_version2,,2025.1.1,61.05773988471626,2025-11-17 16h27.09.399245 +0530,
D:\sadimage5.jpeg,31,3,2,down,0,0.7848667999496683,None,0,2.0185185185185186,3.029687099973671,2,3,31,11,215.073828099994,,,,,,,,,215.05674449994694,215.073828099994,216.05742049997207,216.0710138999857,216.57028139999602,216.6540067999158,217.45458379993215,down,0,0.7848667999496683,None,0,217.45805459993426,217.4704683999298,217.4704683999298,220.5041656999383,2.0185185185185186,3.029687099973671,,,,,emo03,001,2025-11-17_16h26.59.466,solo project_version2,,2025.1.1,61.05773988471626,2025-11-17 16h27.09.399245 +0530,
D:\sadimage6.jpeg,32,4,2,up,0,0.6878088000230491,None,2,2.0185185185185186,1.1660000999690965,2,4,32,12,220.52353150001727,,,,,,,,,220.50644729996566,220.52353150001727,221.50643229996786,221.52047539991327,222.0194597999798,222.1196040000068,222.82018789998256,up,0,0.6878088000230491,None,2,222.82186939998064,222.8360935000237,222.8360935000237,224.00421739998274,2.0185185185185186,1.1660000999690965,,,,,emo03,001,2025-11-17_16h26.59.466,solo project_version2,,2025.1.1,61.05773988471626,2025-11-17 16h27.09.399245 +0530,
D:\happyimage1.jpeg,33,5,2,down,1,0.7825253000482917,None,1,5,4.148858599946834,2,5,33,0,224.02270849992055,,,,,,,,,224.00762289995328,224.02270849992055,225.0061626000097,225.01981189998332,225.51924699998926,225.61938839999493,226.40293679991737,down,1,0.7825253000482917,None,1,226.40453499997966,226.41892149997875,226.41892149997875,230.56957599997986,5,4.148858599946834,,,,,emo03,001,2025-11-17_16h26.59.466,solo project_version2,,2025.1.1,61.05773988471626,2025-11-17 16h27.09.399245 +0530,
D:\sadimage7.jpeg,34,6,2,down,0,1.7241762999910861,None,0,3.037037037037037,2.812879199977033,2,6,34,13,230.58893319999333,,,,,,,,,230.57185129995923,230.58893319999333,231.5724277999252,231.58606979995966,232.08544779999647,232.18578639999032,233.91998439992312,down,0,1.7241762999910861,None,0,233.92333169991616,233.9353861999698,233.9353861999698,236.7523186999606,3.037037037037037,2.812879199977033,,,,,emo03,001,2025-11-17_16h26.59.466,solo project_version2,,2025.1.1,61.05773988471626,2025-11-17 16h27.09.399245 +0530,
D:\happyimage5.jpeg,35,7,2,up,1,0.6600873999996111,None,0,4.018518518518519,1.3800119999796152,2,7,35,4,236.7717518999707,,,,,,,,,236.75477639993187,236.7717518999707,237.75541300000623,237.76881159993354,238.26821050001308,238.35163369996008,239.0192508000182,up,1,0.6600873999996111,None,0,239.0226092999801,239.0348400999792,239.0348400999792,240.41979979991447,4.018518518518519,1.3800119999796152,,,,,emo03,001,2025-11-17_16h26.59.466,solo project_version2,,2025.1.1,61.05773988471626,2025-11-17 16h27.09.399245 +0530,
D:\happyimage3.jpeg,36,8,2,up,1,0.512083200039342,None,0,5,0.896093099960126,2,8,36,2,240.43814430001657,,,,,,,,,240.42388879996724,240.43814430001657,241.4214599999832,241.43495089991484,241.93448409996927,242.03471799998078,242.55249429994728,up,1,0.512083200039342,None,0,242.556395099964,242.56813419994432,242.56813419994432,243.46840000001248,5,0.896093099960126,,,,,emo03,001,2025-11-17_16h26.59.466,solo project_version2,,2025.1.1,61.05773988471626,2025-11-17 16h27.09.399245 +0530,
D:\happyimage4.jpeg,37,9,2,up,1,0.8212018000194803,None,0,4.888888888888889,1.0631690999725834,2,9,37,3,243.48817199992482,,,,,,,,,243.48122740001418,243.48817199992482,244.471215599915,244.48487159993965,244.98445480002556,245.06776809995063,245.90192729991395,up,1,0.8212018000194803,None,0,245.90561319992412,245.9176486999495,245.9176486999495,246.98458489996847,4.888888888888889,1.0631690999725834,,,,,emo03,001,2025-11-17_16h26.59.466,solo project_version2,,2025.1.1,61.05773988471626,2025-11-17 16h27.09.399245 +0530,
D:\sadimage3.jpeg,38,10,2,down,0,0.6592202000319958,None,0,1,1.3305907999165356,2,10,38,9,247.00441950000823,,,,,,,,,246.98737519991118,247.00441950000823,247.98760509991553,248.0012240000069,248.50052939995658,248.58407380001154,249.25120159995276,down,0,0.6592202000319958,None,0,249.25421679997817,249.2673030999722,249.2673030999722,250.60111689998303,1,1.3305907999165356,,,,,emo03,001,2025-11-17_16h26.59.466,solo project_version2,,2025.1.1,61.05773988471626,2025-11-17 16h27.09.399245 +0530,
D:\happyimage2.jpeg,39,11,2,up,0,0.5453498000279069,None,-5,3.8555555555555556,1.3971433999249712,2,11,39,1,250.62038099998608,,,,,,,,,250.60341380001046,250.62038099998608,251.60359569999855,251.6173770999303,252.11687589995563,252.21704090002459,252.76764640002511,up,0,0.5453498000279069,None,-5,252.77060849999543,252.78364179993514,252.78364179993514,254.1841499999864,3.8555555555555556,1.3971433999249712,,,,,emo03,001,2025-11-17_16h26.59.466,solo project_version2,,2025.1.1,61.05773988471626,2025-11-17 16h27.09.399245 +0530,
D:\sadimage1.jpeg,40,12,2,up,1,1.2498153999913484,None,0,2.977777777777778,4.71148820000235,2,12,40,7,254.20337679993827,,,,,,,,,254.18637669994496,254.20337679993827,255.18675479991361,255.20058059995063,255.70006019994617,255.7999207000248,257.0511567000067,up,1,1.2498153999913484,None,0,257.0557531999657,257.06644129997585,257.06644129997585,261.7837187999394,2.977777777777778,4.71148820000235,,,,,emo03,001,2025-11-17_16h26.59.466,solo project_version2,,2025.1.1,61.05773988471626,2025-11-17 16h27.09.399245 +0530,
