pos,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,seq.thisRepN,seq.thisTrialN,seq.thisN,seq.thisIndex,ran.thisRepN,ran.thisTrialN,ran.thisN,ran.thisIndex,thisRow.t,notes,trial.started,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,trial.stopped,seq.key_resp.keys,seq.key_resp.corr,seq.key_resp.rt,seq.key_resp.duration,trial2.started,fixation2.started,lineA.started,lineB.started,lineC.started,lineD.started,fixation2.stopped,probe2.started,key_resp_2.started,trial2.stopped,ran.key_resp_2.keys,ran.key_resp_2.corr,ran.key_resp_2.rt,ran.key_resp_2.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
-50,x,0,0,0,x,1,1.5727271999930963,None,,,,,0,0,0,0,,,,,0.0268435999751091,,0.022804199950769544,0.0268435999751091,1.0104358999524266,1.0104358999524266,1.0104358999524266,1.0104358999524266,1.0271300000022165,2.010558499954641,2.010558499954641,3.69771519995993,x,1,1.5727271999930963,None,,,,,,,,,,,,,,,02,001,2025-10-03_14h53.18.482,motorselection,,2025.1.1,60.01720092102189,2025-10-03 14h53.46.410391 +0530,
150,v,1,1,0,v,1,0.5740274999989197,None,,,,,0,1,1,1,,,,,3.701237899949774,,3.6980376999708824,3.701237899949774,4.710476799984463,4.710476799984463,4.710476799984463,4.710476799984463,4.710476799984463,5.710528499970678,5.710528499970678,6.295050199958496,v,1,0.5740274999989197,None,,,,,,,,,,,,,,,02,001,2025-10-03_14h53.18.482,motorselection,,2025.1.1,60.01720092102189,2025-10-03 14h53.46.410391 +0530,
50,c,2,2,0,c,1,0.32927360001485795,None,,,,,0,2,2,2,,,,,6.310319099982735,,6.296237399976235,6.310319099982735,7.310290099994745,7.310290099994745,7.310290099994745,7.310290099994745,7.310290099994745,8.310295999981463,8.310295999981463,8.64476219995413,c,1,0.32927360001485795,None,,,,,,,,,,,,,,,02,001,2025-10-03_14h53.18.482,motorselection,,2025.1.1,60.01720092102189,2025-10-03 14h53.46.410391 +0530,
-150,z,3,3,0,z,1,0.35289280000142753,None,,,,,0,3,3,3,,,,,8.660155299992766,,8.645806399988942,8.660155299992766,9.66017709998414,9.66017709998414,9.66017709998414,9.66017709998414,9.66017709998414,10.660034300002735,10.660034300002735,11.027271199971437,z,1,0.35289280000142753,None,,,,,,,,,,,,,,,02,001,2025-10-03_14h53.18.482,motorselection,,2025.1.1,60.01720092102189,2025-10-03 14h53.46.410391 +0530,
-50,x,4,0,1,x,1,0.8548798999981955,None,,,,,1,0,4,0,,,,,11.042862299946137,,11.028045199986082,11.042862299946137,12.026634699956048,12.026634699956048,12.026634699956048,12.026634699956048,12.043351599946618,13.043036699993536,13.043036699993536,13.909885599976406,x,1,0.8548798999981955,None,,,,,,,,,,,,,,,02,001,2025-10-03_14h53.18.482,motorselection,,2025.1.1,60.01720092102189,2025-10-03 14h53.46.410391 +0530,
150,v,5,1,1,v,1,1.223811800009571,None,,,,,1,1,5,1,,,,,13.925846099969931,,13.91047719999915,13.925846099969931,14.909649899986107,14.909649899986107,14.909649899986107,14.909649899986107,14.92635889997473,15.909024799999315,15.909024799999315,17.142554299964104,v,1,1.223811800009571,None,,,,,,,,,,,,,,,02,001,2025-10-03_14h53.18.482,motorselection,,2025.1.1,60.01720092102189,2025-10-03 14h53.46.410391 +0530,
50,c,6,2,1,c,1,1.1311569000245072,None,,,,,1,2,6,2,,,,,17.158492699963972,,17.143047199991997,17.158492699963972,18.142546399962157,18.142546399962157,18.142546399962157,18.142546399962157,18.159232699952554,19.14247500000056,19.14247500000056,20.27652329998091,c,1,1.1311569000245072,None,,,,,,,,,,,,,,,02,001,2025-10-03_14h53.18.482,motorselection,,2025.1.1,60.01720092102189,2025-10-03 14h53.46.410391 +0530,
-150,z,7,3,1,z,1,0.7941227999981493,None,,,,,1,3,7,3,,,,,20.291993199964054,,20.2774166999734,20.291993199964054,21.292349999945145,21.292349999945145,21.292349999945145,21.292349999945145,21.292349999945145,22.29220579995308,22.29220579995308,23.092545499966945,z,1,0.7941227999981493,None,,,,,,,,,,,,,,,02,001,2025-10-03_14h53.18.482,motorselection,,2025.1.1,60.01720092102189,2025-10-03 14h53.46.410391 +0530,
-50,x,8,0,2,x,1,0.8877441000076942,None,,,,,2,0,8,0,,,,,23.108220599999186,,23.093254199950024,23.108220599999186,24.092090199992526,24.092090199992526,24.092090199992526,24.092090199992526,24.10871059994679,25.10810789995594,25.10810789995594,26.008504499972332,x,1,0.8877441000076942,None,,,,,,,,,,,,,,,02,001,2025-10-03_14h53.18.482,motorselection,,2025.1.1,60.01720092102189,2025-10-03 14h53.46.410391 +0530,
150,v,9,1,2,v,1,0.7549998000031337,None,,,,,2,1,9,1,,,,,26.02439349994529,,26.009296699950937,26.02439349994529,27.008403999963775,27.008403999963775,27.008403999963775,27.008403999963775,27.02501309994841,28.007924399978947,28.007924399978947,28.775337199971545,v,1,0.7549998000031337,None,,,,,,,,,,,,,,,02,001,2025-10-03_14h53.18.482,motorselection,,2025.1.1,60.01720092102189,2025-10-03 14h53.46.410391 +0530,
