thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,tilt,slider.response,slider.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instructions.started,text.started,text.stopped,Instructions.stopped,trial.started,Fixation.started,Fixation.stopped,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials.tilt,rating.started,slider.started,text_2.started,rating.stopped,trials.slider.response,trials.slider.rt,Thankyou.started,text_3.started,text_3.stopped,Thankyou.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,0.0030507000046782196,0.008740699995541945,15.010086499998579,14.991927800001577,,,,,,,,,,,,,,,,,,,,,04,001,2025-11-10_12h49.45.448,solo project,,2025.1.1,60.09615385072823,2025-11-10 12h49.53.364987 +0530,
0,0,0,down,1,1.0308263000042643,None,9,5,1.8825641000003088,0,0,0,0,15.010086499998579,,,,,,14.995454399992013,15.010086499998579,16.019940800004406,16.019940800004406,17.0719654999848,down,1,1.0308263000042643,None,9,17.075269299995853,17.093488599988632,17.093488599988632,18.973856600001454,5,1.8825641000003088,,,,,04,001,2025-11-10_12h49.45.448,solo project,,2025.1.1,60.09615385072823,2025-11-10 12h49.53.364987 +0530,
1,0,1,down,1,0.6135818000184372,None,-7,5,0.979246900009457,1,0,1,0,18.992902900004992,,,,,,18.974067999981344,18.992902900004992,19.98995299998205,19.976668399991468,20.591348499991,down,1,0.6135818000184372,None,-7,20.59498209998128,20.60663399999612,20.60663399999612,21.590744699991774,5,0.979246900009457,,,,,04,001,2025-11-10_12h49.45.448,solo project,,2025.1.1,60.09615385072823,2025-11-10 12h49.53.364987 +0530,
2,0,2,up,1,0.6118007999903057,None,0,5,0.9463872000051197,2,0,2,0,21.609460899984697,,,,,,21.59106909998809,21.609460899984697,22.606249999982538,22.59267379998346,23.20696099998895,up,1,0.6118007999903057,None,0,23.211131199990632,23.223208799987333,23.223208799987333,24.17383559999871,5,0.9463872000051197,,,,,04,001,2025-11-10_12h49.45.448,solo project,,2025.1.1,60.09615385072823,2025-11-10 12h49.53.364987 +0530,
3,0,3,up,1,0.749489400011953,None,0,5,0.8801457000081427,3,0,3,0,24.192441299994243,,,,,,24.174032399983844,24.192441299994243,25.189370699983556,25.175578399997903,25.94015449998551,up,1,0.749489400011953,None,0,25.943182699993486,25.955889699980617,25.955889699980617,26.84019669998088,5,0.8801457000081427,,,,,04,001,2025-11-10_12h49.45.448,solo project,,2025.1.1,60.09615385072823,2025-11-10 12h49.53.364987 +0530,
4,0,4,up,1,0.6249845999991521,None,0,5,1.0283649000048172,4,0,4,0,26.85860799998045,,,,,,26.84045220000553,26.85860799998045,27.855983799992828,27.842260300007183,28.473639899981208,up,1,0.6249845999991521,None,0,28.478187800006708,28.489121299993712,28.489121299993712,29.52288849998149,5,1.0283649000048172,,,,,04,001,2025-11-10_12h49.45.448,solo project,,2025.1.1,60.09615385072823,2025-11-10 12h49.53.364987 +0530,
5,0,5,down,1,0.6487265000178013,None,-2,3.985185185185185,1.847056500002509,5,0,5,0,29.54194749999442,,,,,,29.523103499988792,29.54194749999442,30.53899899998214,30.52535270000226,31.189619799988577,down,1,0.6487265000178013,None,-2,31.192659899999853,31.205637300008675,31.205637300008675,33.055878399987705,3.985185185185185,1.847056500002509,,,,,04,001,2025-11-10_12h49.45.448,solo project,,2025.1.1,60.09615385072823,2025-11-10 12h49.53.364987 +0530,
6,0,6,down,0,0.7745108999952208,None,0,5,2.197153699991759,6,0,6,0,33.07482889998937,,,,,,33.056102999980794,33.07482889998937,34.07215259998338,34.05836170000839,34.83902569999918,down,0,0.7745108999952208,None,0,34.842136699997354,34.855011899984675,34.855011899984675,37.0553607000038,5,2.197153699991759,,,,,04,001,2025-11-10_12h49.45.448,solo project,,2025.1.1,60.09615385072823,2025-11-10 12h49.53.364987 +0530,
7,0,7,down,1,0.7433003000041936,None,-4,5,0.8461247000086587,7,0,7,0,37.07501139998203,,,,,,37.05552439999883,37.07501139998203,38.07128509998438,38.0578731999849,38.805635800003074,down,1,0.7433003000041936,None,-4,38.809582199988654,38.82164469998679,38.82164469998679,39.67188839998562,5,0.8461247000086587,,,,,04,001,2025-11-10_12h49.45.448,solo project,,2025.1.1,60.09615385072823,2025-11-10 12h49.53.364987 +0530,
8,0,8,down,1,0.47297219999018125,None,8,5,0.880120399990119,8,0,8,0,39.691195899999,,,,,,39.672045899991645,39.691195899999,40.68802199998754,40.67425079998793,41.155192799982615,down,1,0.47297219999018125,None,8,41.15853139999672,41.17097459998331,41.17097459998331,42.05506739998236,5,0.880120399990119,,,,,04,001,2025-11-10_12h49.45.448,solo project,,2025.1.1,60.09615385072823,2025-11-10 12h49.53.364987 +0530,
